,card_id,field_id,date_collected,total_scm,scm_male,scm_female,season_total,male_total,female_total,weekly_prop,weekly_prop_f,weekly_prop_m,season_prop,week,year
2234,2068.0,GAB_STE,2023-04-17,5.0,2.0,3.0,729.0,414.0,315.0,0.006858710562414266,0.009523809523809525,0.004830917874396135,0.1673525377229081,16,2023
2252,2096.0,KAT_TEE,2023-04-17,5.0,0.0,5.0,173.0,78.0,95.0,0.028901734104046242,0.05263157894736842,0.0,0.057803468208092484,16,2023
2255,2122.0,SMI_CRO,2023-04-17,0.0,0.0,0.0,188.0,105.0,83.0,0.0,0.0,0.0,0.7393617021276596,16,2023
2257,2124.0,SMI_CAN,2023-04-17,23.0,9.0,14.0,657.0,260.0,397.0,0.0350076103500761,0.03526448362720403,0.03461538461538462,0.1491628614916286,16,2023
2259,2126.0,SMI_KEL,2023-04-17,0.0,0.0,0.0,328.0,147.0,181.0,0.0,0.0,0.0,0.17682926829268292,16,2023
2261,2128.0,SMI_COB,2023-04-17,15.0,13.0,2.0,245.0,187.0,58.0,0.061224489795918366,0.034482758620689655,0.06951871657754011,0.3673469387755102,16,2023
2263,2130.0,SMI_DOU,2023-04-17,0.0,0.0,0.0,114.0,52.0,62.0,0.0,0.0,0.0,0.2807017543859649,16,2023
2265,2134.0,SMI_MCC,2023-04-17,13.0,11.0,2.0,264.0,138.0,126.0,0.04924242424242424,0.015873015873015872,0.07971014492753623,0.19318181818181818,16,2023
2267,2138.0,SMI_HOL,2023-04-17,5.0,3.0,2.0,352.0,226.0,126.0,0.014204545454545454,0.015873015873015872,0.01327433628318584,0.36363636363636365,16,2023
2270,2156.0,LET_NOB,2023-04-17,9.0,2.0,7.0,977.0,669.0,308.0,0.009211873080859774,0.022727272727272728,0.0029895366218236174,0.009211873080859774,16,2023
2272,2158.0,LET_TAB,2023-04-17,26.0,7.0,19.0,465.0,281.0,184.0,0.05591397849462366,0.10326086956521739,0.02491103202846975,0.05591397849462366,16,2023
2254,2098.0,KAT_TEE_2,2023-04-17,1.0,1.0,0.0,445.0,211.0,234.0,0.0022471910112359553,0.0,0.004739336492890996,0.0044943820224719105,16,2023
2211,2074.0,DIP_PAT,2023-04-18,72.0,44.0,28.0,1602.0,817.0,785.0,0.0449438202247191,0.035668789808917196,0.05385556915544676,0.10799001248439451,16,2023
2213,2076.0,DIP_FLE,2023-04-18,88.0,64.0,24.0,1556.0,780.0,776.0,0.056555269922879174,0.030927835051546393,0.08205128205128205,0.33868894601542415,16,2023
2215,2078.0,DIP_CUR,2023-04-18,60.0,25.0,35.0,1309.0,655.0,654.0,0.04583651642475172,0.053516819571865444,0.03816793893129771,0.19938884644766997,16,2023
2217,2080.0,POV_DUN,2023-04-18,2.0,2.0,0.0,275.0,185.0,90.0,0.007272727272727273,0.0,0.010810810810810811,0.6218181818181818,16,2023
2218,2132.0,SMI_LAT,2023-04-18,17.0,9.0,8.0,521.0,197.0,324.0,0.03262955854126679,0.024691358024691357,0.04568527918781726,0.16122840690978885,16,2023
2228,2226.0,MIL_YOD,2023-04-18,26.0,20.0,6.0,501.0,299.0,202.0,0.05189620758483034,0.0297029702970297,0.06688963210702341,0.6367265469061877,16,2023
2222,2140.0,SMI_HOF,2023-04-18,8.0,5.0,3.0,444.0,244.0,200.0,0.018018018018018018,0.015,0.020491803278688523,0.3963963963963964,16,2023
2224,2142.0,SMI_JOH_2,2023-04-18,88.0,63.0,25.0,302.0,184.0,118.0,0.2913907284768212,0.211864406779661,0.3423913043478261,0.5364238410596026,16,2023
