Container Number,Container Type,Project,Record ID,Collection Date,Notes
4077,sushi container,R,GAB_ALL,5/15/23,
4115,deli cup,R,GAB_ALL,5/15/23,
4116,deli cup,R,GAB_ALL,5/15/23,
4545,sushi container,R,GAB_ALL,5/26/23,
4546,sushi container,R,GAB_ALL,5/26/23,
4547,deli cup,R,GAB_ALL,5/26/23,
4550,deli cup,R,GAB_ALL,5/26/23,
3009,deli cup,R,GAB_STE,4/17/23,
3010,deli cup,R,GAB_STE,4/17/23,
3023,sushi container ,R,GAB_STE,4/17/23,
3024,sushi container ,R,GAB_STE,4/17/23,
3328,sushi container,R,GAB_STE,5/1/23,
3329,sushi container,R,GAB_STE,5/1/23,
3334,deli cup,R,GAB_STE,5/1/23,
3335,deli cup,R,GAB_STE,5/1/23,
4078,sushi container,R,GAB_STE,5/15/23,
4079,sushi container,R,GAB_STE,5/15/23,
4085,deli cup,R,GAB_STE,5/15/23,
4114,deli cup,R,GAB_STE,5/15/23,
4541,sushi container,R,GAB_STE,5/26/23,
4542,sushi container,R,GAB_STE,5/26/23,
4551,deli cup,R,GAB_STE,5/26/23,
4552,deli cup,R,GAB_STE,5/26/23,
5006,deli cup,R,WIS_LAB_1,6/5/23,
5014,deli cup,R,WIS_LAB_1,6/5/23,
5016,sushi container,R,WIS_LAB_1,6/5/23,
5020,sushi container,R,WIS_LAB_2,6/5/23,
3628,sushi container,R,LET_NOB,5/8/23,
3629,sushi container,R,LET_NOB,5/8/23,
3676,deli cup,R,LET_NOB,5/8/23,
3677,deli cup,R,LET_NOB,5/8/23,
4054,sushi container,R,LET_NOB,5/16/23,
4055,sushi container,R,LET_NOB,5/16/23,
4100,deli cup,R,LET_NOB,5/16/23,
4102,deli cup,R,LET_NOB,5/16/23,
4871,sushi container,R,LET_NOB,6/1/23,
4872,sushi container,R,LET_NOB,6/1/23,
4918,deli cup,R,LET_NOB,6/1/23,
4921,deli cup,R,LET_NOB,6/1/23,
3154,sushi container,R,LET_NOB,4/24/23,
3156,sushi container,R,LET_NOB,4/24/23,
3158,delia cup,R,LET_NOB,4/24/23,
3161,deli cup,R,LET_NOB,4/24/23,
3626,sushi container,R,LET_TAB,5/8/23,
3627,sushi container,R,LET_TAB,5/8/23,
3674,deli cup,R,LET_TAB,5/8/23,
3675,deli cup,R,LET_TAB,5/8/23,
4194,deli cup,R,LET_TAB,5/23/23,
4195,deli cup,R,LET_TAB,5/23/23,
3155,sushi container,R,LET_TAB,4/24/23,
3157,sushi container,R,LET_TAB,4/24/23,
3159,deli cup,R,LET_TAB,4/24/23,
3160,deli cup,R,LET_TAB,4/24/23,
3145,sushi container,R,MIL_CHA,4/27/23,
3146,sushi container,R,MIL_CHA,4/27/23,
3152,deli cup,R,MIL_CHA,4/27/23,
3644,sushi container,R,MIL_CHA,5/11/23,
3645,sushi container,R,MIL_CHA,5/11/23,
3666,deli cup,R,MIL_CHA,5/11/23,
3671,deli cup,R,MIL_CHA,5/11/23,
4787,sushi container,R,MIL_CHA,5/26/23,
4791,sushi container,R,MIL_CHA,5/26/23,
4798,deli cup,R,MIL_CHA,5/26/23,
4801,deli cup,R,MIL_CHA,5/26/23,
5098,deli cup,R,MIL_CHA,6/9/23,
5099,deli cup,R,MIL_CHA,6/9/23,
5119,sushi container,R,MIL_CHA,6/9/23,
5121,sushi container,R,MIL_CHA,6/9/23,
3143,sushi container,R,MIL_MCC,4/27/23,
3144,sushi container,R,MIL_MCC,4/27/23,
3149,deli cup,R,MIL_MCC,4/27/23,
3150,deli cup,R,MIL_MCC,4/27/23,
3642,sushi container,R,MIL_MCC,5/11/23,
3643,sushi container,R,MIL_MCC,5/11/23,
3667,deli cup,R,MIL_MCC,5/11/23,
3673,deli cup,R,MIL_MCC,5/11/23,
4788,sushi container,R,MIL_MCC,5/26/23,
4789,sushi container,R,MIL_MCC,5/26/23,
4799,deli cup,R,MIL_MCC,5/26/23,
4800,deli cup,R,MIL_MCC,5/26/23,
5097,deli cup,R,MIL_MCC,6/9/23,
5100,deli cup,R,MIL_MCC,6/9/23,
5120,sushi container,R,MIL_MCC,6/9/23,
5124,sushi container,R,MIL_MCC,6/9/23,
3147,sushi container,R,MIL_YOD,4/27/23,
3148,sushi container,R,MIL_YOD,4/27/23,
3151,deli cup,R,MIL_YOD,4/27/23,
3153,deli cup,R,MIL_YOD,4/27/23,
3646,sushi container,R,MIL_YOD,5/11/23,
3647,sushi container,R,MIL_YOD,5/11/23,
3668,deli cup,R,MIL_YOD,5/11/23,
3672,deli cup,R,MIL_YOD,5/11/23,
4790,sushi container,R,MIL_YOD,5/26/23,
4792,sushi container,R,MIL_YOD,5/26/23,
4797,deli cup,R,MIL_YOD,5/26/23,
4802,deli cup,R,MIL_YOD,5/26/23,
5095,deli cup,R,MIL_YOD,6/9/23,
5096,deli cup,R,MIL_YOD,6/9/23,
5122,sushi container,R,MIL_YOD,6/9/23,
5123,sushi container,R,MIL_YOD,6/9/23,
3001,deli cup,R,POV_DUN,4/18/23,
3002,deli cup,R,POV_DUN,4/18/23,
3019,sushi container ,R,POV_DUN,4/18/23,
3020,sushi container ,R,POV_DUN,4/18/23,
3227,sushi container,R,POV_DUN,5/2/23,
3228,sushi container,R,POV_DUN,5/2/23,
3235,deli cup,R,POV_DUN,5/2/23,
3236,deli cup,R,POV_DUN,5/2/23,
3688,deli cup,R,POV_DUN,5/16/23,
3691,deli cup,R,POV_DUN,5/16/23,
3702,sushi container,R,POV_DUN,5/16/23,
3703,sushi container,R,POV_DUN,5/16/23,
3324,sushi container,R,SEA_HOO,4/28/23,
3325,sushi container,R,SEA_HOO,4/28/23,wire mesh got tilled over/destroyed
3326,deli cup,R,SEA_HOO,4/28/23,wire mesh got tilled over/destroyed
3327,deli cup,R,SEA_HOO,4/28/23,wire mesh got tilled over/destroyed
4167,deli cup,R,SEA_HOO,5/17/23,
4168,deli cup,R,SEA_HOO,5/17/23,
4173,sushi container,R,SEA_HOO,5/17/23,
4174,sushi container,R,SEA_HOO,5/17/23,
4861,sushi container,R,SEA_HOO,5/17/23,
4862,sushi container,R,SEA_HOO,5/17/23,
4931,deli cup,R,SEA_HOO,5/31/23,
4932,deli cup,R,SEA_HOO,5/31/23,
3033,deli cup,R,SMI_CAN,4/17/23,
3034,deli cup,R,SMI_CAN,4/17/23,
3055,sushi container ,R,SMI_CAN,4/17/23,
3056,sushi container ,R,SMI_CAN,4/17/23,
3191,sushi container,R,SMI_CAN,5/1/23,
3192,sushi container,R,SMI_CAN,5/1/23,
3215,deli cup ,R,SMI_CAN,5/1/23,
3216,deli cup,R,SMI_CAN,5/1/23,
4048,sushi container,R,SMI_CAN,5/15/23,
4049,sushi container,R,SMI_CAN,5/15/23,
4086,deli cup,R,SMI_CAN,5/15/23,
4103,deli cup,R,SMI_CAN,5/15/23,
4863,sushi container,R,SMI_CAN,5/31/23,
4866,sushi container,R,SMI_CAN,5/31/23,
4919,deli cup,R,SMI_CAN,5/31/23,
4924,deli cup,R,SMI_CAN,5/31/23,
5109,deli cup,R,SMI_CAN,6/12/23,
5110,deli cup,R,SMI_CAN,6/12/23,
5127,sushi container,R,SMI_CAN,6/12/23,
5134,sushi container,R,SMI_CAN,6/12/23,
3043,deli cup,R,SMI_COB,4/17/23,
3044,deli cup,R,SMI_COB,4/17/23,
3059,sushi container ,R,SMI_COB,4/17/23,
3060,sushi container ,R,SMI_COB,4/17/23,
3201,sushi container,R,SMI_COB,5/1/23,
3202,sushi container,R,SMI_COB,5/1/23,
3213,deli cup,R,SMI_COB,5/1/23,
3214,deli cup,R,SMI_COB,5/1/23,
4068,sushi container,R,SMI_COB,5/15/23,
4069,sushi container,R,SMI_COB,5/15/23,
4092,deli cup,R,SMI_COB,5/15/23,
4098,deli cup,R,SMI_COB,5/15/23,
4875,sushi container,R,SMI_COB,5/30/23,
4881,sushi container,R,SMI_COB,5/30/23,
4909,deli cup,R,SMI_COB,5/30/23,
4910,deli cup,R,SMI_COB,5/30/23,
3039,deli cup,R,SMI_CRO,4/17/23,
3040,deli cup,R,SMI_CRO,4/17/23,
3053,sushi container ,R,SMI_CRO,4/17/23,
3054,sushi container ,R,SMI_CRO,4/17/23,
3199,sushi container,R,SMI_CRO,5/1/23,
3200,sushi container,R,SMI_CRO,5/1/23,
3209,deli cup,R,SMI_CRO,5/1/23,
3210,deli cup,R,SMI_CRO,5/1/23,
4066,sushi container,R,SMI_CRO,5/15/23,
4067,sushi container,R,SMI_CRO,5/15/23,
4088,deli cup,R,SMI_CRO,5/15/23,
4093,deli cup,R,SMI_CRO,5/15/23,
4859,sushi container,R,SMI_CRO,5/30/23,
4860,sushi container,R,SMI_CRO,5/30/23,
4927,deli cup,R,SMI_CRO,5/30/23,
4935,deli cup,R,SMI_CRO,5/30/23,
3025,deli cup,R,SMI_DOU,4/17/23,
3026,deli cup,R,SMI_DOU,4/17/23,
3047,sushi container ,R,SMI_DOU,4/17/23,
3048,sushi container ,R,SMI_DOU,4/17/23,
3193,sushi container,R,SMI_DOU,5/1/23,
3194,sushi container,R,SMI_DOU,5/1/23,
3207,deli cup,R,SMI_DOU,5/1/23,
3208,deli cup,R,SMI_DOU,5/1/23,
4046,sushi container,R,SMI_DOU,5/15/23,
4047,sushi container,R,SMI_DOU,5/15/23,
4106,deli cup,R,SMI_DOU,5/15/23,
4111,deli cup,R,SMI_DOU,5/15/23,
4868,sushi container,R,SMI_DOU,5/30/23,
4869,sushi container,R,SMI_DOU,5/30/23,
4923,deli cup,R,SMI_DOU,5/30/23,
4933,deli cup,R,SMI_DOU,5/30/23,
3037,deli cup,R,SMI_DUR,4/18/23,
3038,deli cup,R,SMI_DUR,4/18/23,
3061,sushi container ,R,SMI_DUR,4/18/23,
3062,sushi container ,R,SMI_DUR,4/18/23,
3558,sushi container,R,SMI_DUR,5/2/23,
3559,sushi container,R,SMI_DUR,5/2/23,
3570,deli cup,R,SMI_DUR,5/2/23,there are no seeds in this cup
3575,deli cup,R,SMI_DUR,5/2/23,
4074,sushi container,R,SMI_DUR,5/15/23,
4075,sushi container,R,SMI_DUR,5/15/23,
4080,deli cup,R,SMI_DUR,5/15/23,
4081,deli cup,R,SMI_DUR,5/15/23,
4885,sushi container,R,SMI_DUR,5/31/23,
4886,sushi container,R,SMI_DUR,5/31/23,
4928,deli cup,R,SMI_DUR,5/31/23,
4930,deli cup,R,SMI_DUR,5/31/23,
3029,deli cup,R,SMI_HOF,4/18/23,
3030,deli cup,R,SMI_HOF,4/18/23,
3063,sushi container ,R,SMI_HOF,4/18/23,
3064,sushi container ,R,SMI_HOF,4/18/23,
3552,sushi container,R,SMI_HOF,5/2/23,
3553,sushi container,R,SMI_HOF,5/2/23,
3573,deli cup,R,SMI_HOF,5/2/23,
3574,deli cup,R,SMI_HOF,5/2/23,
4050,sushi container,R,SMI_HOF,5/15/23,
4051,sushi container,R,SMI_HOF,5/15/23,
4113,deli cup,R,SMI_HOF,5/15/23,
5005,deli cup,R,SMI_HOF,5/15/23,
4876,sushi container,R,SMI_HOF,5/31/23,
4908,deli cup,R,SMI_HOF,5/31/23,
4917,deli cup,R,SMI_HOF,5/31/23,
5111,deli cup,R,SMI_HOF,6/14/23,
5112,deli cup,R,SMI_HOF,6/14/23,
5125,sushi container,R,SMI_HOF,6/14/23,
5128,sushi container,R,SMI_HOF,6/14/23,
3031,deli cup,R,SMI_HOL,4/17/23,
3032,deli cup,R,SMI_HOL,4/17/23,
3057,sushi container ,R,SMI_HOL,4/17/23,
3058,sushi container ,R,SMI_HOL,4/17/23,
3203,sushi container,R,SMI_HOL,5/1/23,
3204,sushi container,R,SMI_HOL,5/1/23,
3221,deli cup,R,SMI_HOL,5/1/23,
3222,deli cup,R,SMI_HOL,5/1/23,
4064,sushi container,R,SMI_HOL,5/15/23,
4065,sushi container,R,SMI_HOL,5/15/23,
4082,deli cup,R,SMI_HOL,5/15/23,
4099,deli cup,R,SMI_HOL,5/15/23,
4877,sushi container,R,SMI_HOL,5/30/23,
4878,sushi container,R,SMI_HOL,5/30/23,
4913,deli cup,R,SMI_HOL,5/30/23,
4916,deli cup,R,SMI_HOL,5/30/23,
5117,deli cup,R,SMI_HOL,6/12/23,
5118,deli cup,R,SMI_HOL,6/12/23,
5131,sushi container,R,SMI_HOL,6/12/23,
5133,sushi container,R,SMI_HOL,6/12/23,
4873,sushi container,R,SMI_HOF,5/31/23,
3065,deli cup,R,SMI_JOH,4/18/23,
3069,sushi container ,R,SMI_JOH,4/18/23,
3070,sushi container ,R,SMI_JOH,4/18/23,
3205,sushi container,R,SMI_JOH,5/1/23,
3206,sushi container,R,SMI_JOH,5/1/23,
3211,deli cup ,R,SMI_JOH,5/1/23,
3212,deli cup,R,SMI_JOH,5/1/23,
4072,sushi container,R,SMI_JOH,5/15/23,
4073,sushi container,R,SMI_JOH,5/15/23,
4083,deli cup,R,SMI_JOH,5/15/23,
4087,deli cup,R,SMI_JOH,5/15/23,
4879,sushi container,R,SMI_JOH,5/31/23,
4884,sushi container,R,SMI_JOH,5/31/23,
4914,deli cup,R,SMI_JOH,5/31/23,
4926,deli cup,R,SMI_JOH,5/31/23,
3066,deli cup,R,SMI_JOH_2,4/18/23,Don't know if this is JOH_!  or JOH_2
3067,deli cup,R,SMI_JOH_2,4/18/23,Don't know if this is JOH_!  or JOH_2 Two corn cups where labeled JOH_2
3068,deli cup,R,SMI_JOH_2,4/18/23,
3071,sushi container ,R,SMI_JOH_2,4/18/23,
3072,sushi container ,R,SMI_JOH_2,4/18/23,
3554,sushi container,R,SMI_JOH_2,5/2/23,
3555,sushi container,R,SMI_JOH_2,5/2/23,
3574,deli cup,R,SMI_JOH_2,5/2/23,
3575,deli cup,R,SMI_JOH_2,5/2/23,
4070,sushi container,R,SMI_JOH_2,5/15/23,
4071,sushi container,R,SMI_JOH_2,5/15/23,
4107,deli cup,R,SMI_JOH_2,5/15/23,
4109,deli cup,R,SMI_JOH_2,5/15/23,
4880,sushi container,R,SMI_JOH_2,5/31/23,
4883,sushi container,R,SMI_JOH_2,5/31/23,
4911,deli cup,R,SMI_JOH_2,5/31/23,
4925,deli cup,R,SMI_JOH_2,5/31/23,
5115,deli cup,R,SMI_JOH_2,6/13/23,
5116,deli cup,R,SMI_JOH_2,6/13/23,
5129,sushi container,R,SMI_JOH_2,6/13/23,
5132,sushi container,R,SMI_JOH_2,6/13/23,
3035,deli cup,R,SMI_KEL,4/17/23,
3036,deli cup,R,SMI_KEL,4/17/23,
3049,sushi container ,R,SMI_KEL,4/17/23,
3050,sushi container ,R,SMI_KEL,4/17/23,
3197,sushi container,R,SMI_KEL,5/1/23,
3198,sushi container,R,SMI_KEL,5/1/23,
3219,deli cup,R,SMI_KEL,5/1/23,
3220,deli cup,R,SMI_KEL,5/1/23,
4044,sushi container,R,SMI_KEL,5/15/23,
4045,sushi container,R,SMI_KEL,5/15/23,
4096,deli cup,R,SMI_KEL,5/15/23,
4108,deli cup,R,SMI_KEL,5/15/23,
4864,sushi container,R,SMI_KEL,5/30/23,
4865,sushi container,R,SMI_KEL,5/30/23,
4929,deli cup,R,SMI_KEL,5/30/23,
4934,deli cup,R,SMI_KEL,5/30/23,
5113,deli cup,R,SMI_KEL,6/12/23,
5114,deli cup,R,SMI_KEL,6/12/23,
5126,sushi container,R,SMI_KEL,6/12/23,
5130,sushi container,R,SMI_KEL,6/12/23,
5135,sushi container,R,SMI_KEL,6/27/23,
5136,sushi container,R,SMI_KEL,6/27/23,
5137,sushi container,R,SMI_KEL,6/27/23,
5138,sushi container,R,SMI_KEL,6/27/23,
3027,deli cup,R,SMI_LAT,4/18/23,
3028,deli cup,R,SMI_LAT,4/18/23,
3045,sushi container ,R,SMI_LAT,4/18/23,
3046,sushi container ,R,SMI_LAT,4/18/23,
3556,sushi container,R,SMI_LAT,5/2/23,
3557,sushi container,R,SMI_LAT,5/2/23,
3571,deli cup,R,SMI_LAT,5/2/23,
3572,deli cup,R,SMI_LAT,5/2/23,
4053,sushi container,R,SMI_LAT,5/15/23,
4104,deli cup,R,SMI_LAT,5/15/23,
4110,deli cup,R,SMI_LAT,5/15/23,
4543,sushi container,R,SMI_LAT,5/18/23,
4544,sushi container,R,SMI_LAT,5/18/23,
4548,deli cup,R,SMI_LAT,5/26/23,
4549,deli cup,R,SMI_LAT,5/26/23,
4874,sushi container,R,SMI_LAT,5/31/23,
4882,sushi container,R,SMI_LAT,5/31/23,
4912,deli cup,R,SMI_LAT,5/31/23,
4915,deli cup,R,SMI_LAT,5/31/23,
3041,deli cup,R,SMI_MCC,4/17/23,
3042,deli cup,R,SMI_MCC,4/17/23,
3051,sushi container ,R,SMI_MCC,4/17/23,
3052,sushi container ,R,SMI_MCC,4/17/23,
3195,sushi container,R,SMI_MCC,5/1/23,
3196,sushi container,R,SMI_MCC,5/1/23,
3217,deli cup,R,SMI_MCC,5/1/23,
3218,deli cup,R,SMI_MCC,5/1/23,
4042,sushi container,R,SMI_MCC,5/15/23,
4043,sushi container,R,SMI_MCC,5/15/23,
4105,deli cup,R,SMI_MCC,5/15/23,
4112,deli cup,R,SMI_MCC,5/15/23,
4867,sushi container,R,SMI_MCC,5/30/23,
4870,sushi container,R,SMI_MCC,5/30/23,
4920,deli cup,R,SMI_MCC,5/30/23,
4922,deli cup,R,SMI_MCC,5/30/23,
4052,sushi container,R,SMI_LAT,5/15/23,
3073,deli cup,R,STA_COL,4/20/23,
3074,deli cup,R,STA_COL,4/20/23,
3089,sushi container ,R,STA_COL,4/20/23,
3090,sushi container ,R,STA_COL,4/20/23,
3548,sushi container,R,STA_COL,5/3/23,
3549,sushi container,R,STA_COL,5/3/23,
3563,deli cup,R,STA_COL,5/3/23,
