,id,container_number,project,number_seeds,total_scm_maggots,collection_date,record_id,seed_type,total_scm_pupae,number_wireworm,total_phorid_maggots,scm_seeds,other_seeds
188,1951,4194,R,10.0,0.0,5/23/23,LET_TAB,Corn,0,0.0,0.0,0.0,0.0
189,1948,4195,R,10.0,0.0,5/23/23,LET_TAB,Bean,0,0.0,1.0,0.0,0.0
190,2521,4196,R,4.0,0.0,5/17/23,WIS_COO,Corn,0,0.0,0.0,0.0,0.0
191,1996,4197,R,6.0,0.0,5/17/23,WIS_COO,Bean,0,0.0,0.0,0.0,0.0
192,2002,4198,R,4.0,0.0,5/17/23,WIS_COO_2,Corn,0,0.0,0.0,0.0,1.0
193,1999,4199,R,9.0,0.0,5/17/23,WIS_COO_2,Corn,0,0.0,0.0,0.0,0.0
194,1993,4200,R,10.0,0.0,5/17/23,WIS_MEG,Corn,0,0.0,0.0,0.0,1.0
195,2515,4211,R,9.0,0.0,5/19/23,WIS_HIG,Bean,0,0.0,0.0,0.0,1.0
196,2518,4212,R,10.0,0.0,5/19/23,WIS_HIG,Corn,0,0.0,0.0,0.0,0.0
197,2005,4213,R,9.0,0.0,5/19/23,WIS_KEN,Corn,0,0.0,0.0,0.0,0.0
198,5401,4214,R,0.0,0.0,5/19/23,WIS_KEN,Bean,0,0.0,0.0,0.0,0.0
199,3247,4277,R,10.0,0.0,5/25/23,DIP_PAT,Corn,0,0.0,0.0,0.0,0.0
200,3244,4278,R,10.0,0.0,5/25/23,DIP_PAT,Bean,0,0.0,0.0,0.0,3.0
201,3238,4281,R,9.0,0.0,5/25/23,ZUE_REE,Corn,0,0.0,0.0,0.0,0.0
202,3241,4282,R,10.0,0.0,5/25/23,ZUE_REE,Bean,0,0.0,0.0,0.0,0.0
203,4645,4547,R,8.0,0.0,5/26/23,GAB_ALL,Bean,0,0.0,0.0,0.0,0.0
204,4357,4548,R,10.0,0.0,5/26/23,SMI_LAT,Corn,0,0.0,0.0,0.0,0.0
205,3823,4549,R,10.0,0.0,5/26/23,SMI_LAT,Corn,0,0.0,0.0,0.0,0.0
206,3827,4550,R,,1.0,5/26/23,GAB_ALL,Bean,0,1.0,0.0,0.0,0.0
207,3412,4551,R,10.0,0.0,5/26/23,GAB_STE,Bean,0,0.0,0.0,0.0,0.0
208,4684,4552,R,10.0,0.0,5/26/23,GAB_STE,Corn,0,0.0,0.0,0.0,0.0
209,4675,4783,R,10.0,0.0,6/2/23,DIP_CUR,Corn,0,0.0,0.0,0.0,0.0
