Latitude,Longitude,Site ID,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_21,VALUE_24,VALUE_25,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_56,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_214,VALUE_216,VALUE_221,VALUE_222,VALUE_225,VALUE_226,VALUE_228,VALUE_229,VALUE_241,VALUE_242,VALUE_243
42.329445000000000,-78.716110999999998,MIL_TEL,"570","0","4","0","1","0","0","0","0","0","0","0","0","84","11","0","0","1","0","0","0","0","0","0","0","0","79","0","0","0","2","0","0","0","154","35","27","4","2","1393","19","323","3","745","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.688611109999997,-78.808055560000000,MIL_ZIT_1,"633","0","378","0","13","1","0","0","0","0","6","0","0","72","198","0","0","0","0","0","0","0","2","0","0","0","30","0","0","0","25","0","0","5","421","330","24","5","6","461","23","70","2","747","12","2","0","0","0","0","1","0","0","0","0","4","0","0","0"
42.679721999999998,-78.807221999999996,MIL_ZIT_2,"843","0","623","0","18","1","0","2","0","0","1","0","0","156","115","0","0","0","26","0","0","0","0","0","1","0","3","0","0","0","24","0","0","2","118","142","13","0","4","640","20","94","2","608","2","2","0","0","0","1","2","0","0","0","0","6","0","0","0"
42.689110999999997,-78.810277999999997,MIL_ZIT_3,"564","0","345","0","13","0","0","0","0","0","8","0","0","36","175","0","0","0","0","0","0","0","2","0","0","0","27","0","0","0","26","0","0","5","418","319","24","5","7","608","15","68","3","755","22","2","0","0","0","0","5","0","0","0","0","7","0","0","0"
42.982978000000003,-74.035696000000002,SMI_ARN_1,"84","5","26","1","10","0","0","1","0","2","4","0","0","251","199","0","0","1","0","11","0","0","0","0","6","0","12","0","0","0","0","0","0","6","173","69","4","0","27","924","50","269","3","916","199","191","2","0","0","0","0","0","0","0","17","3","0","1","0"
42.970222000000000,-74.025943999999996,SMI_ARN_2,"127","1","64","1","51","0","0","4","0","17","2","0","0","122","139","0","0","8","0","40","0","0","0","0","0","0","50","0","0","1","0","0","0","22","122","165","26","2","25","735","29","77","4","1481","107","17","0","0","0","0","0","0","0","0","21","1","0","0","0"
43.231444000000003,-75.035443999999998,SMI_BUR,"84","1","10","0","8","0","32","3","0","69","20","0","0","0","50","1","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","4","190","58","5","0","29","1684","121","470","26","546","23","5","6","0","0","0","0","0","0","0","0","0","0","2","0"
42.663806000000001,-74.515305999999995,SMI_COB,"383","1","13","0","0","0","0","60","0","0","2","0","0","97","0","0","0","0","0","1","0","0","0","0","11","0","24","0","0","0","0","0","0","6","380","307","105","19","53","502","9","94","0","1308","65","26","1","0","0","0","0","0","0","0","0","0","0","0","0"
42.826388999999999,-74.577500000000001,SMI_CON_1,"476","1","334","0","16","0","1","18","0","4","26","0","0","351","160","3","0","6","0","2","0","0","0","0","0","0","264","0","0","0","0","1","0","0","94","40","8","2","27","567","3","61","6","893","16","4","1","0","0","0","0","0","0","0","69","15","0","0","0"
42.839331000000001,-74.613545000000002,SMI_CON_2,"563","0","29","0","38","0","4","0","0","1","1","0","1","79","246","0","0","7","0","2","0","0","0","0","0","0","113","0","0","0","0","0","0","0","127","72","10","0","30","370","0","11","1","1672","46","42","0","0","0","0","0","0","0","0","2","2","0","0","0"
43.053024000000001,-74.835234999999997,SMI_DOU,"128","0","243","0","5","0","3","0","0","0","3","0","0","48","453","0","0","1","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","10","166","17","6","1","3","516","5","14","0","1814","5","12","0","0","0","0","0","0","0","0","0","1","0","0","0"
42.344444000000003,-75.713333000000006,SMI_HOF_1,"329","0","70","0","0","0","0","1","0","0","5","0","0","9","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","89","157","80","2","0","93","689","153","583","0","1021","141","44","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.750999999999998,-74.570971999999998,SMI_HOF_2,"352","6","269","10","6","0","1","3","0","0","7","0","0","220","19","0","0","1","0","5","0","0","0","0","0","0","41","0","0","2","0","0","0","3","106","30","9","0","5","810","93","71","2","1171","190","33","2","0","0","0","0","0","0","0","0","2","0","0","0"
42.709361000000001,-75.568416999999997,SMI_LAT,"121","0","26","0","1","0","0","1","0","0","14","0","0","37","107","0","0","2","0","1","0","0","0","0","0","0","6","0","0","0","0","0","0","9","113","31","4","0","26","767","190","415","0","1439","145","10","0","0","0","0","0","0","0","0","0","0","0","0","0"
43.115278000000004,-74.842194000000006,SMI_MCC,"236","0","6","0","27","0","0","0","0","0","18","0","0","249","143","0","0","1","0","2","0","0","0","0","0","0","20","0","0","0","0","0","0","0","175","38","4","0","15","662","0","7","25","1813","11","5","0","0","0","0","0","0","0","0","0","8","0","0","0"
42.892139000000000,-77.571167000000003,STA_BLO,"372","0","11","0","0","0","0","405","0","0","0","0","0","2","1","0","1","2","0","0","0","0","0","0","0","0","19","0","0","0","0","1","0","53","172","60","2","1","2","552","10","29","3","1343","351","40","16","0","0","0","0","0","0","0","17","0","0","0","0"
42.806860999999998,-76.816666999999995,STA_FRE,"485","30","662","0","2","0","146","309","0","18","2","0","0","29","29","4","0","97","20","15","3","0","0","0","16","4","339","4","0","27","137","66","0","0","67","205","44","4","27","68","0","0","16","501","24","3","36","0","0","0","0","0","0","0","21","4","0","0","4"
43.049388999999998,-77.566556000000006,STA_KRE,"54","0","1","0","0","0","0","8","0","0","17","0","0","8","6","0","0","0","0","0","1","0","0","0","0","0","159","0","0","0","0","0","0","51","345","675","107","0","17","668","30","11","3","861","259","184","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.764167000000000,-77.735777999999996,STA_MAC,"587","1","5","0","5","0","0","146","0","17","1","0","0","380","0","0","0","0","8","0","0","0","0","0","0","0","182","0","0","0","0","1","0","166","111","152","8","0","1","1162","1","23","2","323","10","17","30","0","0","0","0","0","0","0","132","0","0","0","0"
42.728222000000002,-77.041360999999995,STA_MAR,"949","7","545","3","5","0","4","410","7","43","57","1","0","481","21","2","2","20","1","1","0","0","0","0","4","8","171","1","0","20","32","0","0","0","34","48","12","4","6","64","0","0","1","273","6","0","12","0","0","0","0","3","0","0","192","1","0","0","14"
43.129694000000001,-76.779167000000001,STA_REE_1,"207","13","705","0","0","0","2","372","0","36","1","14","0","2","1","2","0","4","45","0","0","0","0","0","0","0","13","0","0","9","21","1","0","0","109","78","7","0","1","292","1","6","17","424","794","239","36","1","0","0","0","0","0","0","15","0","0","1","1"
43.096972000000001,-76.786833000000001,STA_REE_2,"109","1","826","0","1","0","0","55","0","11","0","1","0","13","10","0","0","6","10","1","0","0","0","0","0","0","5","0","0","6","23","14","0","0","146","58","4","0","3","484","19","50","5","334","1029","232","2","0","0","0","0","0","0","0","3","1","0","3","1"
43.123860999999998,-78.214777999999995,STA_STA,"403","1","265","0","16","0","0","0","0","0","0","0","0","2","0","0","0","0","112","32","62","2","0","0","1","0","65","0","0","1","7","0","0","20","30","62","22","0","5","198","8","9","9","111","1683","230","0","105","0","0","0","1","0","0","0","0","0","0","0"
43.064667000000000,-76.825444000000005,STA_WIL,"1030","4","349","1","0","0","0","0","0","0","0","0","0","12","0","1","1","1","3","0","0","0","0","0","0","0","9","0","0","11","28","3","0","105","157","235","17","2","13","534","27","21","7","291","499","98","0","4","0","0","0","0","0","0","6","0","0","0","1"
43.312722000000001,-78.365832999999995,STA_WOO,"345","0","237","0","0","0","0","240","0","2","3","0","0","400","16","0","2","16","1","1","0","3","30","0","0","0","26","2","9","656","12","0","0","0","116","120","12","0","12","423","6","20","13","440","54","0","205","40","3","0","1","1","0","0","0","1","0","0","1"
43.019944000000002,-78.189806000000004,ZUE_MYT,"27","107","6","0","0","0","0","16","0","36","2","0","0","108","0","0","59","275","0","0","0","5","3","0","0","0","136","0","0","0","0","1","0","20","338","715","584","216","50","95","5","2","4","299","342","8","7","0","0","0","0","0","3","0","0","0","0","0","1"
42.625784000000003,-77.558704000000006,ZUE_VOT,"402","2","18","0","2","0","0","107","0","4","13","0","0","8","37","0","4","183","1","0","0","3","23","0","60","0","88","0","0","0","0","0","0","7","240","40","2","0","2","1259","128","317","22","457","15","7","3","0","0","0","0","1","0","0","8","0","0","0","0"
