,field_id,total_scm,collection_date,total_adult_scm,number_seeds,scm_seeds,seed_type
114,WIS_COO,0.0,2023-04-19,,8.0,0.0,Bean
115,WIS_COO,0.0,2023-04-19,1.0,8.0,0.0,Bean
116,WIS_COO,0.0,2023-04-19,,10.0,0.0,Corn
117,WIS_COO,0.0,2023-04-19,1.0,10.0,0.0,Corn
118,WIS_COO_2,0.0,2023-04-19,,11.0,0.0,Corn
119,WIS_COO_2,0.0,2023-04-19,0.0,11.0,0.0,Corn
120,WIS_COO_2,3.0,2023-04-19,,10.0,1.0,Bean
121,WIS_COO_2,3.0,2023-04-19,0.0,10.0,1.0,Bean
122,WIS_KEN,0.0,2023-04-21,,1.0,0.0,Bean
123,WIS_KEN,0.0,2023-04-21,12.0,1.0,0.0,Bean
124,WIS_HIG,0.0,2023-04-21,,10.0,0.0,Corn
125,WIS_HIG,0.0,2023-04-21,2.0,10.0,0.0,Corn
126,WIS_HIG,1.0,2023-04-21,,5.0,0.0,Bean
127,WIS_HIG,1.0,2023-04-21,2.0,5.0,0.0,Bean
128,SMI_DOU,0.0,2023-05-01,,10.0,0.0,Bean
129,SMI_DOU,0.0,2023-05-01,10.0,10.0,0.0,Bean
130,SMI_CRO,0.0,2023-05-01,,10.0,0.0,Corn
131,SMI_CRO,0.0,2023-05-01,10.0,10.0,0.0,Corn
132,SMI_CRO,0.0,2023-05-01,,10.0,0.0,Bean
133,SMI_CRO,0.0,2023-05-01,10.0,10.0,0.0,Bean
134,SMI_JOH,0.0,2023-05-01,,10.0,0.0,Corn
135,SMI_JOH,0.0,2023-05-01,18.0,10.0,0.0,Corn
136,SMI_JOH,0.0,2023-05-01,,9.0,0.0,Bean
137,SMI_JOH,0.0,2023-05-01,18.0,9.0,0.0,Bean
138,SMI_COB,0.0,2023-05-01,,10.0,0.0,Corn
139,SMI_COB,0.0,2023-05-01,21.0,10.0,0.0,Corn
140,SMI_CAN,0.0,2023-05-01,,10.0,0.0,Bean
141,SMI_CAN,0.0,2023-05-01,117.0,10.0,0.0,Bean
142,SMI_CAN,0.0,2023-05-01,,10.0,0.0,Corn
143,SMI_CAN,0.0,2023-05-01,117.0,10.0,0.0,Corn
144,SMI_MCC,0.0,2023-05-01,,10.0,0.0,Corn
145,SMI_MCC,0.0,2023-05-01,43.0,10.0,0.0,Corn
146,SMI_MCC,0.0,2023-05-01,,9.0,0.0,Bean
147,SMI_MCC,0.0,2023-05-01,43.0,9.0,0.0,Bean
148,SMI_KEL,23.0,2023-05-01,,8.0,4.0,Bean
149,SMI_KEL,23.0,2023-05-01,3.0,8.0,4.0,Bean
150,SMI_KEL,0.0,2023-05-01,,10.0,0.0,Bean
151,SMI_KEL,0.0,2023-05-01,3.0,10.0,0.0,Bean
152,SMI_HOL,0.0,2023-05-01,,10.0,0.0,Corn
153,SMI_HOL,0.0,2023-05-01,8.0,10.0,0.0,Corn
154,SMI_HOL,0.0,2023-05-01,,7.0,0.0,Bean
155,SMI_HOL,0.0,2023-05-01,8.0,7.0,0.0,Bean
156,ZUE_REE,0.0,2023-04-26,,10.0,0.0,Corn
157,ZUE_REE,0.0,2023-04-26,133.0,10.0,0.0,Corn
158,POV_DUN,2.0,2023-05-02,,10.0,1.0,Corn
159,POV_DUN,2.0,2023-05-02,22.0,10.0,1.0,Corn
160,DIP_PAT,0.0,2023-05-02,,10.0,0.0,Corn
161,DIP_PAT,0.0,2023-05-02,66.0,10.0,0.0,Corn
162,DIP_PAT,0.0,2023-05-02,,9.0,0.0,Bean
163,DIP_PAT,0.0,2023-05-02,66.0,9.0,0.0,Bean
164,DIP_FLE,0.0,2023-05-02,60.0,10.0,0.0,Corn
165,DIP_FLE,0.0,2023-05-02,,10.0,0.0,Corn
166,DIP_FLE,0.0,2023-05-02,60.0,10.0,0.0,Corn
167,DIP_FLE,0.0,2023-05-02,,10.0,0.0,Corn
168,DIP_CUR,0.0,2023-05-02,,10.0,0.0,Bean
169,DIP_CUR,0.0,2023-05-02,187.0,10.0,0.0,Bean
170,DIP_CUR,0.0,2023-05-02,,10.0,0.0,Corn
171,DIP_CUR,0.0,2023-05-02,187.0,10.0,0.0,Corn
172,GAB_ALL,0.0,2023-05-01,,10.0,0.0,Corn
173,GAB_ALL,0.0,2023-05-01,165.0,10.0,0.0,Corn
174,GAB_ALL,0.0,2023-05-01,,8.0,0.0,Corn
175,GAB_ALL,0.0,2023-05-01,165.0,8.0,0.0,Corn
176,GAB_STE,0.0,2023-05-01,,10.0,0.0,Corn
177,GAB_STE,0.0,2023-05-01,66.0,10.0,0.0,Corn
178,STA_WIL,0.0,2023-05-03,,10.0,0.0,Bean
179,STA_WIL,0.0,2023-05-03,61.0,10.0,0.0,Bean
180,STA_WIL,0.0,2023-05-03,,10.0,0.0,Corn
181,STA_WIL,0.0,2023-05-03,61.0,10.0,0.0,Corn
182,STA_HEM_2,0.0,2023-05-03,,10.0,0.0,Bean
183,STA_HEM_2,0.0,2023-05-03,76.0,10.0,0.0,Bean
184,STA_HEM_2,0.0,2023-05-03,,10.0,0.0,Corn
185,STA_HEM_2,0.0,2023-05-03,76.0,10.0,0.0,Corn
186,STA_HEM,0.0,2023-05-03,,10.0,0.0,Corn
187,STA_HEM,0.0,2023-05-03,101.0,10.0,0.0,Corn
188,STA_HEM,0.0,2023-05-03,,9.0,0.0,Bean
189,STA_HEM,0.0,2023-05-03,101.0,9.0,0.0,Bean
190,STA_COL,0.0,2023-05-03,,9.0,0.0,Bean
191,STA_COL,0.0,2023-05-03,25.0,9.0,0.0,Bean
192,STA_COL,0.0,2023-05-03,,10.0,0.0,Corn
193,STA_COL,0.0,2023-05-03,25.0,10.0,0.0,Corn
194,STA_SWE,0.0,2023-05-03,,10.0,0.0,Corn
195,STA_SWE,0.0,2023-05-03,24.0,10.0,0.0,Corn
196,STA_SWE,0.0,2023-05-03,,8.0,0.0,Bean
197,STA_SWE,0.0,2023-05-03,24.0,8.0,0.0,Bean
198,SMI_LAT,0.0,2023-05-02,,10.0,0.0,Corn
199,SMI_LAT,0.0,2023-05-02,126.0,10.0,0.0,Corn
200,SMI_LAT,1.0,2023-05-02,,10.0,0.0,Bean
201,SMI_LAT,1.0,2023-05-02,126.0,10.0,0.0,Bean
202,SMI_HOF,0.0,2023-05-02,,10.0,0.0,Corn
203,SMI_HOF,0.0,2023-05-02,78.0,10.0,0.0,Corn
204,SMI_HOF,0.0,2023-05-02,,10.0,0.0,Corn
205,SMI_HOF,0.0,2023-05-02,78.0,10.0,0.0,Corn
206,SMI_DUR,0.0,2023-05-02,,10.0,0.0,Bean
207,SMI_DUR,0.0,2023-05-02,167.0,10.0,0.0,Bean
208,SMI_DUR,0.0,2023-05-02,,10.0,0.0,Bean
209,SMI_DUR,0.0,2023-05-02,167.0,10.0,0.0,Bean
210,SMI_DUR,0.0,2023-05-02,,10.0,0.0,Corn
211,SMI_DUR,0.0,2023-05-02,167.0,10.0,0.0,Corn
212,SMI_DUR,0.0,2023-05-02,,10.0,0.0,Corn
213,SMI_DUR,0.0,2023-05-02,167.0,10.0,0.0,Corn
214,MIL_CHA,0.0,2023-05-11,,10.0,0.0,Corn
215,MIL_CHA,0.0,2023-05-11,36.0,10.0,0.0,Corn
216,MIL_CHA,1.0,2023-05-11,,,0.0,Bean
217,MIL_CHA,1.0,2023-05-11,36.0,,0.0,Bean
218,MIL_MCC,0.0,2023-05-11,,10.0,0.0,Bean
219,MIL_MCC,0.0,2023-05-11,21.0,10.0,0.0,Bean
220,MIL_MCC,0.0,2023-05-11,,10.0,0.0,Corn
221,MIL_MCC,0.0,2023-05-11,21.0,10.0,0.0,Corn
222,MIL_YOD,1.0,2023-05-11,,10.0,1.0,Bean
223,MIL_YOD,1.0,2023-05-11,4.0,10.0,1.0,Bean
224,MIL_YOD,0.0,2023-05-11,,10.0,0.0,Corn
225,MIL_YOD,0.0,2023-05-11,4.0,10.0,0.0,Corn
226,ZUE_REE,3.0,2023-05-09,,8.0,1.0,Bean
227,ZUE_REE,3.0,2023-05-09,165.0,8.0,1.0,Bean
228,ZUE_REE,0.0,2023-05-09,,10.0,0.0,Corn
229,ZUE_REE,0.0,2023-05-09,165.0,10.0,0.0,Corn
230,LET_TAB,0.0,2023-05-08,,10.0,0.0,Corn
231,LET_TAB,0.0,2023-05-08,26.0,10.0,0.0,Corn
232,LET_TAB,0.0,2023-05-08,,9.0,0.0,Bean
233,LET_TAB,0.0,2023-05-08,26.0,9.0,0.0,Bean
234,LET_NOB,0.0,2023-05-08,,10.0,0.0,Corn
235,LET_NOB,0.0,2023-05-08,87.0,10.0,0.0,Corn
236,LET_NOB,0.0,2023-05-08,,0.0,0.0,Bean
237,LET_NOB,0.0,2023-05-08,87.0,0.0,0.0,Bean
238,WIS_MEG,0.0,2023-05-05,,10.0,0.0,Corn
239,WIS_MEG,0.0,2023-05-05,66.0,10.0,0.0,Corn
240,WIS_MEG,0.0,2023-05-05,,5.0,0.0,Bean
241,WIS_MEG,0.0,2023-05-05,66.0,5.0,0.0,Bean
242,WIS_KEN,3.0,2023-05-05,,,0.0,Bean
243,WIS_KEN,3.0,2023-05-05,78.0,,0.0,Bean
244,WIS_KEN,0.0,2023-05-05,,10.0,0.0,Corn
245,WIS_KEN,0.0,2023-05-05,78.0,10.0,0.0,Corn
246,WIS_COO,0.0,2023-05-03,,10.0,0.0,Corn
247,WIS_COO,0.0,2023-05-03,11.0,10.0,0.0,Corn
248,WIS_COO,1.0,2023-05-03,,,0.0,Bean
249,WIS_COO,1.0,2023-05-03,11.0,,0.0,Bean
250,WIS_COO_2,0.0,2023-05-03,,10.0,0.0,Bean
251,WIS_COO_2,0.0,2023-05-03,31.0,10.0,0.0,Bean
252,WIS_COO_2,0.0,2023-05-03,,10.0,0.0,Corn
253,WIS_COO_2,0.0,2023-05-03,31.0,10.0,0.0,Corn
254,WIS_HIG,0.0,2023-05-05,21.0,10.0,0.0,Corn
255,WIS_HIG,0.0,2023-05-05,,10.0,0.0,Corn
256,WIS_HIG,0.0,2023-05-05,21.0,4.0,0.0,Bean
257,WIS_HIG,0.0,2023-05-05,,4.0,0.0,Bean
258,POV_DUN,0.0,2023-05-16,,10.0,0.0,Corn
259,POV_DUN,0.0,2023-05-16,0.0,10.0,0.0,Corn
260,POV_DUN,4.0,2023-05-16,,7.0,1.0,Bean
261,POV_DUN,4.0,2023-05-16,0.0,7.0,1.0,Bean
262,DIP_CUR,0.0,2023-05-16,,9.0,0.0,Corn
263,DIP_CUR,0.0,2023-05-16,3.0,9.0,0.0,Corn
264,DIP_CUR,0.0,2023-05-16,,3.0,0.0,Bean
265,DIP_CUR,0.0,2023-05-16,3.0,3.0,0.0,Bean
266,DIP_PAT,0.0,2023-05-16,,10.0,0.0,Bean
267,DIP_PAT,0.0,2023-05-16,30.0,10.0,0.0,Bean
268,DIP_PAT,0.0,2023-05-16,,10.0,0.0,Corn
269,DIP_PAT,0.0,2023-05-16,30.0,10.0,0.0,Corn
270,DIP_FLE,0.0,2023-05-16,,9.0,0.0,Corn
271,DIP_FLE,0.0,2023-05-16,3.0,9.0,0.0,Corn
272,SMI_DUR,0.0,2023-05-15,,9.0,0.0,Bean
273,SMI_DUR,0.0,2023-05-15,9.0,9.0,0.0,Bean
274,SMI_DUR,0.0,2023-05-15,,8.0,0.0,Corn
275,SMI_DUR,0.0,2023-05-15,9.0,8.0,0.0,Corn
276,SMI_HOL,0.0,2023-05-15,,10.0,0.0,Corn
277,SMI_HOL,0.0,2023-05-15,10.0,10.0,0.0,Corn
278,SMI_HOL,2.0,2023-05-15,,5.0,2.0,Bean
279,SMI_HOL,2.0,2023-05-15,10.0,5.0,2.0,Bean
280,SMI_JOH,0.0,2023-05-15,,10.0,0.0,Corn
281,SMI_JOH,0.0,2023-05-15,15.0,10.0,0.0,Corn
282,SMI_JOH,0.0,2023-05-15,,7.0,0.0,Bean
283,SMI_JOH,0.0,2023-05-15,15.0,7.0,0.0,Bean
284,GAB_STE,0.0,2023-05-15,,9.0,0.0,Bean
285,GAB_STE,0.0,2023-05-15,7.0,9.0,0.0,Bean
286,GAB_STE,0.0,2023-05-15,,10.0,0.0,Corn
287,GAB_STE,0.0,2023-05-15,7.0,10.0,0.0,Corn
288,SMI_CAN,1.0,2023-05-15,,6.0,0.0,Bean
289,SMI_CAN,1.0,2023-05-15,5.0,6.0,0.0,Bean
290,SMI_CAN,0.0,2023-05-15,,10.0,0.0,Corn
291,SMI_CAN,0.0,2023-05-15,5.0,10.0,0.0,Corn
292,SMI_CRO,0.0,2023-05-15,,8.0,0.0,Corn
293,SMI_CRO,0.0,2023-05-15,1.0,8.0,0.0,Corn
294,SMI_CRO,0.0,2023-05-15,,11.0,0.0,Bean
295,SMI_CRO,0.0,2023-05-15,1.0,11.0,0.0,Bean
296,STA_COL,0.0,2023-05-16,,8.0,0.0,Corn
297,STA_COL,0.0,2023-05-16,104.0,8.0,0.0,Corn
298,STA_COL,0.0,2023-05-16,,10.0,0.0,Bean
299,STA_COL,0.0,2023-05-16,104.0,10.0,0.0,Bean
300,SMI_COB,0.0,2023-05-15,,10.0,0.0,Corn
301,SMI_COB,0.0,2023-05-15,9.0,10.0,0.0,Corn
302,SMI_COB,0.0,2023-05-15,,4.0,0.0,Bean
303,SMI_COB,0.0,2023-05-15,9.0,4.0,0.0,Bean
304,SMI_KEL,0.0,2023-05-15,,5.0,0.0,Bean
305,SMI_KEL,0.0,2023-05-15,0.0,5.0,0.0,Bean
306,SMI_KEL,0.0,2023-05-15,,9.0,0.0,Corn
307,SMI_KEL,0.0,2023-05-15,0.0,9.0,0.0,Corn
308,LET_NOB,0.0,2023-05-16,,10.0,0.0,Corn
309,LET_NOB,0.0,2023-05-16,126.0,10.0,0.0,Corn
310,LET_NOB,0.0,2023-05-16,,10.0,0.0,Bean
311,LET_NOB,0.0,2023-05-16,126.0,10.0,0.0,Bean
312,STA_WIL,0.0,2023-05-16,,7.0,0.0,Bean
313,STA_WIL,0.0,2023-05-16,26.0,7.0,0.0,Bean
314,SMI_LAT,0.0,2023-05-15,,8.0,0.0,Bean
315,SMI_LAT,0.0,2023-05-15,11.0,8.0,0.0,Bean
316,SMI_LAT,0.0,2023-05-15,,10.0,0.0,Corn
317,SMI_LAT,0.0,2023-05-15,11.0,10.0,0.0,Corn
318,SMI_MCC,0.0,2023-05-15,,7.0,0.0,Corn
319,SMI_MCC,0.0,2023-05-15,1.0,7.0,0.0,Corn
320,SMI_MCC,0.0,2023-05-15,,5.0,0.0,Bean
321,SMI_MCC,0.0,2023-05-15,1.0,5.0,0.0,Bean
322,SMI_DOU,0.0,2023-05-15,,8.0,0.0,Corn
323,SMI_DOU,0.0,2023-05-15,3.0,8.0,0.0,Corn
324,SMI_DOU,0.0,2023-05-15,,5.0,0.0,Bean
325,SMI_DOU,0.0,2023-05-15,3.0,5.0,0.0,Bean
326,SMI_JOH_2,0.0,2023-05-15,,10.0,0.0,Corn
327,SMI_JOH_2,0.0,2023-05-15,7.0,10.0,0.0,Corn
328,SMI_JOH_2,9.0,2023-05-15,,8.0,0.0,Bean
329,SMI_JOH_2,9.0,2023-05-15,7.0,8.0,0.0,Bean
330,SMI_HOF,0.0,2023-05-15,,10.0,0.0,Corn
331,SMI_HOF,0.0,2023-05-15,3.0,10.0,0.0,Corn
332,SMI_HOF,0.0,2023-05-15,,10.0,0.0,Bean
333,SMI_HOF,0.0,2023-05-15,3.0,10.0,0.0,Bean
334,GAB_ALL,0.0,2023-05-15,,6.0,0.0,Corn
335,GAB_ALL,0.0,2023-05-15,8.0,6.0,0.0,Corn
336,GAB_ALL,4.0,2023-05-15,,,0.0,Bean
337,GAB_ALL,4.0,2023-05-15,8.0,,0.0,Bean
338,SEA_HOO,0.0,2023-05-17,41.0,10.0,0.0,Corn
339,SEA_HOO,0.0,2023-05-17,,10.0,0.0,Corn
340,SEA_HOO,1.0,2023-05-17,41.0,8.0,0.0,Bean
341,SEA_HOO,1.0,2023-05-17,,8.0,0.0,Bean
342,DIP_FLE,0.0,2023-05-23,31.0,10.0,0.0,Bean
343,DIP_FLE,0.0,2023-05-23,,10.0,0.0,Bean
344,DIP_FLE,0.0,2023-05-23,31.0,10.0,0.0,Corn
345,DIP_FLE,0.0,2023-05-23,,10.0,0.0,Corn
346,LET_TAB,0.0,2023-05-23,69.0,10.0,0.0,Corn
347,LET_TAB,0.0,2023-05-23,,10.0,0.0,Corn
348,LET_TAB,0.0,2023-05-23,69.0,10.0,0.0,Bean
349,LET_TAB,0.0,2023-05-23,,10.0,0.0,Bean
350,WIS_COO,0.0,2023-05-17,48.0,4.0,0.0,Corn
351,WIS_COO,0.0,2023-05-17,,4.0,0.0,Corn
352,WIS_COO,0.0,2023-05-17,48.0,6.0,0.0,Bean
353,WIS_COO,0.0,2023-05-17,,6.0,0.0,Bean
354,WIS_COO_2,0.0,2023-05-17,0.0,4.0,0.0,Corn
355,WIS_COO_2,0.0,2023-05-17,,4.0,0.0,Corn
356,WIS_COO_2,0.0,2023-05-17,0.0,9.0,0.0,Corn
357,WIS_COO_2,0.0,2023-05-17,,9.0,0.0,Corn
358,WIS_HIG,0.0,2023-05-19,4.0,9.0,0.0,Bean
359,WIS_HIG,0.0,2023-05-19,,9.0,0.0,Bean
360,WIS_HIG,0.0,2023-05-19,4.0,10.0,0.0,Corn
361,WIS_HIG,0.0,2023-05-19,,10.0,0.0,Corn
362,WIS_KEN,0.0,2023-05-19,34.0,9.0,0.0,Corn
363,WIS_KEN,0.0,2023-05-19,,9.0,0.0,Corn
364,WIS_KEN,0.0,2023-05-19,34.0,0.0,0.0,Bean
365,WIS_KEN,0.0,2023-05-19,,0.0,0.0,Bean
366,GAB_ALL,0.0,2023-05-26,12.0,8.0,0.0,Bean
367,GAB_ALL,0.0,2023-05-26,,8.0,0.0,Bean
368,GAB_ALL,1.0,2023-05-26,12.0,,0.0,Bean
369,GAB_ALL,1.0,2023-05-26,,,0.0,Bean
370,GAB_STE,0.0,2023-05-26,36.0,10.0,0.0,Bean
371,GAB_STE,0.0,2023-05-26,,10.0,0.0,Bean
372,GAB_STE,0.0,2023-05-26,36.0,10.0,0.0,Corn
373,GAB_STE,0.0,2023-05-26,,10.0,0.0,Corn
374,STA_SWE,0.0,2023-05-26,42.0,9.0,0.0,Corn
375,STA_SWE,0.0,2023-05-26,,9.0,0.0,Corn
376,STA_SWE,0.0,2023-05-26,42.0,10.0,0.0,Bean
377,STA_SWE,0.0,2023-05-26,,10.0,0.0,Bean
378,MIL_YOD,5.0,2023-05-26,31.0,9.0,0.0,Bean
379,MIL_YOD,5.0,2023-05-26,,9.0,0.0,Bean
380,MIL_YOD,0.0,2023-05-26,31.0,10.0,0.0,Corn
381,MIL_YOD,0.0,2023-05-26,,10.0,0.0,Corn
382,MIL_CHA,1.0,2023-05-26,6.0,11.0,1.0,Bean
383,MIL_CHA,1.0,2023-05-26,,11.0,1.0,Bean
384,MIL_CHA,0.0,2023-05-26,6.0,10.0,0.0,Corn
385,MIL_CHA,0.0,2023-05-26,,10.0,0.0,Corn
386,MIL_MCC,0.0,2023-05-26,88.0,10.0,0.0,Corn
387,MIL_MCC,0.0,2023-05-26,,10.0,0.0,Corn
388,MIL_MCC,0.0,2023-05-26,88.0,4.0,0.0,Bean
389,MIL_MCC,0.0,2023-05-26,,4.0,0.0,Bean
390,STA_HEM,0.0,2023-05-31,69.0,10.0,0.0,Corn
391,STA_HEM,0.0,2023-05-31,,10.0,0.0,Corn
392,STA_HEM,6.0,2023-05-31,69.0,10.0,2.0,Bean
393,STA_HEM,6.0,2023-05-31,,10.0,2.0,Bean
394,STA_HEM_2,0.0,2023-05-31,26.0,10.0,0.0,Corn
