Name,VALUE_0,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_48,VALUE_49,VALUE_50,VALUE_52,VALUE_53,VALUE_54,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_214,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_236,VALUE_242,VALUE_243,VALUE_244,VALUE_247,VALUE_248
Fort_Plain,0,15952,5,3847,0,1,0,0,13,0,12,197,0,0,4340,16217,1,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,95,0,0,0,2,0,0,108,2997,1844,643,109,30,12201,1366,2331,35,17243,1343,36,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Geneva,0,10382,1,9261,0,22,1,1,3073,3,7,89,0,127,5653,819,0,0,233,5,0,0,0,1,0,0,2,0,2,0,104,2,162,2,0,291,250,4,0,31174,2896,1498,339,31,9,7017,38,718,11,4400,1567,145,12,1,0,0,0,0,0,0,0,0,2,0,1,431,0,0,0
Great_Valley,0,2982,2,2346,0,2,0,0,113,0,1,41,0,0,606,2912,1,0,26,1,0,0,0,1,0,0,1,0,0,0,32,0,212,0,0,3,19,1,0,262,3514,988,460,67,73,46327,1963,10802,9,5953,269,54,6,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Greenwich,0,9654,41,532,0,98,79,0,7,0,193,41,0,0,6766,3310,0,0,3,0,1,0,0,0,0,0,0,0,0,0,7,313,46,0,0,7,3,0,0,2743,3215,3401,2451,984,561,19356,3649,5105,96,11907,6084,463,3,0,0,0,0,0,0,0,0,0,20,0,19,0,0,0,0
Groveland,0,17698,2,6646,0,36,3,0,1115,0,4,44,0,0,6279,3395,0,6,456,263,0,0,0,8,0,0,21,0,0,0,25,0,1817,1,3,3,25,17,1,29,3371,2020,269,42,22,22377,424,3090,32,9771,1199,48,16,1,0,0,0,0,0,1,0,3,0,0,2,6,0,0,0
Hall,0,21690,9,17936,0,37,0,0,3868,1,9,75,0,38,10322,838,262,1,965,7,0,0,0,7,0,0,0,0,0,0,124,0,480,0,0,46,151,1,2,22,3239,1420,330,63,51,8543,8,332,17,3403,5342,113,15,1,0,0,4,0,0,0,0,2,0,1,0,1040,0,0,0
Hamlin,19498,14066,3,6104,46,1256,0,1,3369,0,0,30,0,0,1788,383,1,874,2727,34,1,0,0,18,2,0,133,0,0,0,13,0,232,25,80,3213,43,37,8,368,2532,1803,455,198,22,8966,18,806,12,4780,3920,106,52,938,725,0,0,1,0,1250,2,1,2,0,0,592,0,0,0
Hurley,0,2860,0,494,1,652,10,0,26,0,173,28,0,0,424,951,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,6,174,0,0,32,0,0,0,811,6031,2770,693,83,39,27775,5312,22232,16,3873,4104,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interlaken,0,16908,16,14313,3,89,49,127,1933,0,79,787,3,1,7083,5385,36,0,26,0,1,0,0,1,1,0,0,0,0,0,274,0,152,0,0,24,413,5,1,134,2470,2873,762,116,52,10844,68,926,141,13631,740,59,40,0,0,0,0,0,0,2,1,5,3,0,15,5,0,0,0
Kennedy,0,6536,0,297,0,0,0,1,20,0,3,3,0,0,736,8660,0,0,862,0,0,0,0,0,0,0,0,0,0,0,40,0,270,0,0,3,26,2,0,164,3564,1859,549,48,16,30728,833,5688,7,11385,7111,551,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Kinderhook,0,11320,13,1106,2,22,39,2,86,0,120,102,0,0,3011,4081,1,0,0,0,12,6,0,3,0,0,0,0,0,0,9,10,49,0,0,44,3,0,20,195,3240,5377,3282,676,104,23837,2829,3513,90,14060,2867,169,3,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0
King_Ferry,0,21938,6,3362,0,1518,1,0,959,0,81,45,0,0,18062,3077,2,0,15,2,1,20,0,0,0,0,0,0,0,0,77,1,36,0,0,5,27,2,0,12,2256,2014,396,58,46,14992,262,944,101,8203,1655,57,27,0,0,0,0,0,0,63,0,7,293,0,1,21,0,0,0
Kirkville,0,3381,3,1316,0,43,1,0,207,0,50,28,0,0,582,1423,2,0,201,0,1,0,0,0,0,0,0,0,0,0,7,22,290,0,0,5,3,8,1,686,5194,2509,884,150,94,29927,831,520,197,11739,20538,364,16,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0
LeRoy,0,15853,5,2996,0,5461,2,0,2122,0,9,25,0,0,8439,774,21,2,693,16,0,2,0,2,84,0,1128,0,2,0,19,0,124,0,1,12,30,11,1,230,4151,2464,997,368,1355,17504,18,820,117,8280,5823,146,506,4,0,0,0,0,0,7,1,361,0,0,13,27,0,0,0
Lockport,0,15898,5,9977,0,93,0,0,1180,0,0,1016,0,0,4350,2266,1,9,28,0,0,14,0,1,4,0,0,0,0,0,11,0,5541,14,14,397,670,6,18,269,2543,2198,411,47,107,12850,12,423,16,12100,8700,91,24,0,0,0,0,2,1,0,0,1,0,0,0,53,0,0,0
Lyndonville,19077,7789,2,11526,0,10,0,0,75,0,1,8,0,0,4566,601,0,0,575,2,0,1,0,0,0,0,286,0,0,0,25,2,572,1,2,8313,51,8,5,297,3123,1046,176,22,14,10710,53,565,9,5806,5642,68,5,3,0,0,0,1,0,213,0,0,0,0,1,281,0,0,0
Medina,0,17768,4,6117,0,392,0,0,1056,0,0,9,0,0,5283,719,2,2,150,566,0,8,24,3,10,0,293,0,0,0,27,0,541,5,26,4716,76,15,6,535,2825,1552,283,38,27,15373,48,759,10,8184,13358,153,32,278,0,0,0,1,1,4,0,4,0,0,1,151,0,0,0
Melrose,0,5135,44,1167,2,120,2,0,7,0,107,13,0,0,2921,2704,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,57,24,0,0,11,4,0,0,3333,2350,3190,1692,963,1213,16310,3814,22426,153,9199,3569,281,2,0,0,0,0,0,0,0,0,0,44,0,8,0,0,0,0
New_Paltz,0,563,39,139,0,25,3,0,19,0,11,9,0,0,203,2203,0,0,0,0,0,2,0,4,0,0,0,22,0,0,16,4,968,0,0,678,0,4,3,902,7721,3841,1905,629,32,36510,691,3104,27,8622,10357,196,0,0,0,0,0,6,0,3,0,0,6,0,2,0,0,0,0
Newark_Valley,0,1125,15,409,0,1,0,0,1,0,3,58,0,0,1221,4419,0,0,5,0,0,0,0,0,0,0,0,0,0,0,118,0,43,0,0,4,4,2,3,203,3293,1306,369,87,25,31103,1899,13957,82,19753,498,100,3,0,0,0,0,0,0,1,0,0,1,0,5,1,0,0,0
Olean,0,1105,1,221,0,2,4,3,31,0,0,38,0,0,387,3655,0,0,11,1,0,1,0,0,0,0,3,0,0,0,19,0,117,0,0,4,17,4,0,455,4870,2781,863,299,26,36945,2673,15365,35,8830,1033,82,11,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Oswego,22459,372,2,158,1,6,0,0,13,0,1,3,0,0,86,848,0,0,0,0,0,0,0,518,0,0,0,0,0,6,0,1,67,0,0,14,1,1,36,1059,4738,5769,4635,2159,136,24748,680,497,263,7483,4748,181,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
Owego,0,3049,10,507,1,35,22,0,47,0,6,40,0,0,2027,3362,1,0,4,1,2,0,0,0,0,0,0,0,0,0,205,0,219,0,0,2,3,4,0,2367,5535,3707,2254,888,728,17418,1950,17749,89,16581,778,303,5,1,0,0,0,0,0,0,0,0,1,0,8,1,0,0,0
Panama,0,3060,3,30,0,0,0,0,5,0,0,1,0,0,413,4275,0,0,2,0,0,0,0,0,1,0,0,0,0,0,18,0,27,0,0,1,42,0,0,129,3048,554,266,50,7,46522,3012,6695,81,7877,3509,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavilion,0,27114,30,5701,0,598,0,0,3238,0,1,219,0,0,15647,952,1,41,914,90,0,0,0,3,120,0,695,0,0,0,43,0,69,0,4,12,9,3,0,235,3212,1072,423,49,60,12593,61,630,28,4693,1497,110,6,0,0,0,0,0,0,1,2,654,0,0,4,15,0,0,0
Penn_Yan,0,18168,1,9553,0,15,3,3,5354,0,31,217,1,8,9934,2529,4,2,158,22,1,0,0,1,0,0,11,0,3,0,1361,59,391,0,0,24,1444,7,2,244,5364,1982,902,297,35,11318,395,2702,17,6604,1226,48,74,0,0,0,0,0,0,0,0,9,3,0,2,54,0,0,0
Peru,0,9212,8,84,2,1,0,5,3,0,9,14,0,0,11262,472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,141,0,0,46,3,0,0,988,3942,4575,1664,320,214,10143,16216,1549,118,13725,7705,766,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0
Pike,0,13694,11,975,0,1250,1,0,2208,0,4,154,0,0,9804,1606,0,1,238,2698,0,2,0,0,0,0,31,0,0,0,242,0,1103,0,0,17,7,24,1,471,3541,954,310,90,8,22161,2621,6498,46,6203,3186,370,1,0,0,0,0,0,0,2,0,3,0,0,0,6,0,0,0
