Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_0,VALUE_1,VALUE_5,VALUE_24,VALUE_25,VALUE_28,VALUE_36,VALUE_42,VALUE_43,VALUE_44,VALUE_61,VALUE_63,VALUE_70,VALUE_81,VALUE_82,VALUE_83,VALUE_87,VALUE_88,VALUE_176
Collins,,,,,,"-1","0","-1",,,"0","5456","559","1118","1545","11","1427","0","0","286","782","30304","0","1","6497","511","661","1988","33306"
Eagle_Bridge,,,,,,"-1","0","-1",,,"0","2032","3","0","19417","159","202","0","0","1529","0","43844","0","2924","6543","995","0","0","7411"
Eden,,,,,,"-1","0","-1",,,"0","7952","2802","585","1170","0","2347","2","0","318","1688","21610","0","19","9761","344","568","3482","32036"
Farmersville,,,,,,"-1","0","-1",,,"0","2378","346","3","8965","428","8234","0","0","391","50","40196","0","0","2015","213","26","428","20677"
Farmington,,,,,,"-1","0","-1",,,"0","5147","2523","3601","5710","741","4447","358","0","10510","11749","20016","0","686","4098","126","60","1254","14059"
Feura_Bush,,,,,,"-1","0","-1",,,"0","1093","0","0","9887","12","8","0","0","1254","0","49802","0","684","11158","207","0","0","10415"
Flint,,,,,,"-1","0","-1",,,"0","8825","6280","4750","3357","132","5841","2005","0","12201","11233","17004","0","556","1294","45","25","1752","9667"
Florida,,,,,,"-1","0","-1",,,"0","3551","0","0","5485","0","569","0","0","22814","0","21731","0","219","7245","781","46","3917","16536"
Fort_Plain,,,,,,"-1","0","-1",,,"0","7912","2319","0","19137","1","15524","0","0","5892","82","13601","0","5","2676","159","2","1885","15833"
Geneva,,,,,,"-1","0","-1",,,"0","7363","802","3890","2652","106","1493","529","0","10266","3606","8322","0","597","2499","32657","7","1430","8613"
Great_Valley,,,,,,"-1","0","-1",,,"0","4038","599","0","5189","219","3531","0","1","806","91","49641","0","1932","3289","108","51","337","14227"
Greenwich,,,,,,"-1","0","-1",,,"0","2692","14","0","16595","55","82","0","0","1681","0","35340","0","4071","10088","3071","0","0","11534"
Groveland,,,,,,"-1","0","-1",,,"0","11754","600","3560","1784","74","820","4","0","553","1009","15024","0","4","5126","18","328","773","43190"
Hall,,,,,,"-1","0","-1",,,"0","16843","2528","6192","2624","29","3392","1137","0","17379","6085","14278","0","252","1748","10","2","1767","10594"
Hamlin,,,,,,"-1","0","-1",,,"20513","7252","5650","7510","775","0","478","90","0","2807","3960","8550","0","6","4108","318","586","850","22159"
Hurley,,,,,,"-1","0","-1",,,"0","1033","0","0","3556","0","629","0","0","448","2917","56111","0","114","6011","970","64","289","11530"
Interlaken,,,,,,"-1","0","-1",,,"0","9006","1631","5","22357","0","8627","1","0","2678","2495","11006","0","0","5703","64","0","2617","18429"
Kennedy,,,,,,"-1","0","-1",,,"0","4644","1432","0","9968","551","6094","0","0","2054","153","33975","0","121","5309","135","350","606","18571"
Kinderhook,,,,,,"-1","0","-1",,,"0","4276","0","0","6957","0","2845","0","0","2597","74","29349","0","0","8237","731","571","252","28440"
King_Ferry,,,,,,"-1","0","-1",,,"0","16667","3563","4","10678","1","13195","2","0","4195","1223","18076","0","3","4611","41","0","2437","9985"
Kirkville,,,,,,"-1","0","-1",,,"0","1727","3189","0","6555","0","5560","0","0","1214","233","45819","0","162","6473","1135","28","1693","11489"
LeRoy,,,,,,"-1","0","-1",,,"0","12455","6397","2312","113","0","2835","6","0","5560","2394","13668","0","5","5934","306","515","1765","30826"
Lockport,,,,,,"-1","0","-1",,,"0","11049","8767","3030","2213","0","1913","17","0","3035","4284","10817","0","1","4961","165","267","2014","32893"
Lyndonville,,,,,,"-1","0","-1",,,"20044","11100","4046","2366","2550","0","1245","28","0","1773","1833","8690","0","11","2695","263","450","2445","26082"
Medina,,,,,,"-1","0","-1",,,"0","12782","5289","2850","1528","0","1226","22","0","2483","1961","18269","0","23","3823","630","826","1802","31988"
Melrose,,,,,,"-1","0","-1",,,"0","2418","0","0","9540","18","27","0","0","1048","0","46157","0","1841","10033","3527","0","0","10307"
New_Paltz,,,,,,"-1","0","-1",,,"0","2344","0","0","6769","0","883","0","0","2890","37","43210","0","127","8283","1325","71","792","16722"
Newark_Valley,,,,,,"-1","0","-1",,,"0","1494","0","0","11877","0","35","0","0","1645","0","47501","0","329","2974","509","0","1089","16670"
Olean,,,,,,"-1","0","-1",,,"0","1562","316","1","7195","123","3000","1","0","396","134","44824","0","4","7884","364","25","877","17194"
Oswego,,,,,,"-1","0","-1",,,"23698","236","222","43","2781","0","1342","21","0","570","456","29047","0","1139","11606","1293","174","941","12216"
Owego,,,,,,"-1","0","-1",,,"0","3134","0","0","10265","0","3","0","0","2750","0","36724","0","461","11526","3255","0","2335","13456"
Panama,,,,,,"-1","0","-1",,,"0","564","768","116","9731","992","543","0","59","2673","256","55928","0","0","1298","107","94","249","10484"
Pavilion,,,,,,"-1","0","-1",,,"0","17586","6037","5558","247","0","3234","46","0","5482","3188","8817","0","10","3319","252","485","1513","29114"
Penn_Yan,,,,,,"-1","0","-1",,,"0","9594","1282","5217","4668","173","3205","471","0","20357","6484","12955","0","224","3431","228","3","2069","14246"
Peru,,,,,,"-1","0","-1",,,"0","6390","0","0","8494","16","22","0","0","3711","0","36605","0","738","9515","1473","0","0","20441"
Pike,,,,,,"-1","0","-1",,,"0","13961","2892","973","651","13","1786","100","0","2631","2191","23851","0","20","2205","760","1147","1422","29972"
Plattsburgh,,,,,,"-1","0","-1",,,"0","4297","6","0","6704","42","16","0","0","1662","0","26243","0","1062","16666","10850","0","0","20076"
Plessis,,,,,,"-1","0","-1",,,"0","995","1671","1208","8835","34","8370","212","0","2484","3221","25114","0","3488","2656","2819","285","31","25549"
Portville,,,,,,"-1","0","-1",,,"0","1437","276","0","6595","103","3471","0","0","283","108","49556","0","4","4634","554","41","765","16023"
Potter,,,,,,"-1","0","-1",,,"0","5023","861","1136","6903","478","2898","145","0","15369","3983","30269","0","213","2426","158","2","1161","13682"
Preble,,,,,,"-1","0","-1",,,"0","5742","1287","2","7627","0","8361","4","0","1899","286","40478","0","386","3764","2813","50","2296","9819"
Ransomville,,,,,,"-1","0","-1",,,"0","11215","7599","3056","2574","0","2420","17","0","2882","4378","10883","0","5","5613","188","246","2428","31905"
Rush,,,,,,"-1","0","-1",,,"0","8782","3663","3601","1175","0","1346","515","0","3330","1640","12811","0","4","7362","537","627","1483","38201"
Salem,,,,,,"-1","0","-1",,,"0","2112","99","0","15987","37","183","0","0","955","0","51234","0","726","4464","533","0","0","9023"
Savannah,,,,,,"-1","0","-1",,,"0","7512","2030","789","3979","0","2056","8","0","2725","424","21858","0","9920","7309","5619","219","775","19955"
Schaghticoke,,,,,,"-1","0","-1",,,"0","3357","0","0","8768","20","26","0","0","969","0","40919","0","2996","11111","4782","0","0","12033"
Schoharie,,,,,,"-1","0","-1",,,"0","3357","0","0","8768","20","26","0","0","969","0","40919","0","2996","11111","4782","0","0","12033"
Seneca_Castle,,,,,,"-1","0","-1",,,"0","9592","4375","4304","2776","105","4559","1676","0","11781","10413","19992","0","884","1615","426","152","1633","10720"
Seneca_Falls,,,,,,"-1","0","-1",,,"0","9592","4375","4304","2776","105","4559","1676","0","11781","10413","19992","0","884","1615","426","152","1633","10720"
Sharon_Springs,,,,,,"-1","0","-1",,,"0","571","317","0","21895","138","8135","0","0","2024","26","33740","0","58","2200","888","7","265","14508"
Sherwood,,,,,,"-1","0","-1",,,"0","19072","3561","8","13540","0","10745","1","0","5204","2500","10732","0","5","3381","32","0","3720","12300"
South_Colton,,,,,,"-1","0","-1",,,"0","63","7","0","3050","0","1339","0","0","80","32","60513","0","607","2626","5410","5","5","13567"
Spencer,,,,,,"-1","0","-1",,,"0","1095","0","4","5249","5","16","0","0","1600","10","63982","0","6","1889","1274","0","299","8708"
Spencerport,,,,,,"-1","0","-1",,,"0","3251","1240","720","635","0","226","2","0","646","987","15159","0","5","29929","744","775","1469","29574"
Stone_Ridge,,,,,,"-1","0","-1",,,"0","1544","0","0","6756","0","1578","0","0","390","1326","49207","0","132","5254","1055","57","116","16174"
Ticonderoga,,,,,,"-1","0","-1",,,"20","1941","0","0","2233","0","2","0","0","8143","0","47320","0","32","9840","3073","0","0","13772"
Tivoli,,,,,,"-1","0","-1",,,"0","4814","0","0","8039","0","522","0","0","4388","24","36095","2","0","5271","2318","918","838","20608"
Unadilla,,,,,,"-1","0","-1",,,"0","1176","1340","0","7496","0","8502","0","0","1134","33","41557","0","0","4013","1392","1","832","16746"
Waterport,,,,,,"-1","0","-1",,,"0","10975","6980","4233","1816","0","1175","5","0","2603","2277","20175","0","1","3100","1609","1032","1646","27933"
Williamson,,,,,,"-1","0","-1",,,"0","5012","2539","796","3934","281","3736","391","0","11424","10475","28427","0","621","4464","132","193","1181","11828"
