Name,VALUE_0,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_55,VALUE_57,VALUE_58,VALUE_59,VALUE_60,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_76,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_208,VALUE_214,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_225,VALUE_226,VALUE_227,VALUE_229,VALUE_236,VALUE_242,VALUE_243,VALUE_247
Penn_Yan,0,24776,0,6945,0,46,13,1,2841,0,1,55,1268,1,12,9092,5806,1,0,514,38,8,0,0,0,2,1,0,0,191,18,0,795,0,0,128,116,3,0,0,242,5214,1108,270,69,101,12177,478,2348,1464,3309,626,27,21,11,0,0,0,0,1,51,0,2,0,0,0,1,0,391,0
Peru,0,9030,0,3,0,31,1,0,0,0,0,0,44,0,0,7636,6445,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,752,0,0,3516,0,0,0,0,1443,5783,3023,503,58,51,14483,16597,1847,3637,260,7338,745,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Pike,0,17141,6,1717,0,32,44,1,712,0,0,4,507,0,3,9556,3381,3,0,303,2515,39,0,8,3,89,0,0,0,28,0,1,227,3,0,26,0,1,0,0,360,2848,386,61,34,11,26198,1889,4385,2819,4145,704,323,20,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0
Plattsburgh,0,6380,0,9,0,7,0,0,0,0,0,0,9,0,0,3897,5487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,0,0,103,0,0,0,0,9873,6126,8951,5909,2611,14,10038,6481,545,2414,147,12619,678,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Plessis,0,1915,0,538,0,0,0,2,28,0,0,0,8,0,0,103,28126,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,275,0,0,0,0,0,0,0,3049,2045,1375,95,9,10,20880,3435,60,10434,127,9288,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portville,0,867,0,55,0,0,0,0,20,0,0,1,17,0,0,159,7682,0,0,340,0,3,0,7,0,0,0,0,0,0,0,0,74,1,0,3,15,0,0,0,580,2674,610,161,5,138,59239,2354,353,2108,1912,264,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potter,0,10341,0,3019,0,789,86,38,841,0,0,53,744,0,20,6277,6430,6,0,223,625,3,0,1180,0,0,0,0,0,159,0,0,628,0,5,101,51,30,0,0,516,3282,255,11,2,124,27378,1013,4978,5026,4768,1204,180,3,233,0,0,0,0,0,42,0,0,0,0,0,0,0,6,0
Preble,0,9120,15,283,0,49,12,1,81,0,0,26,149,4,0,5785,3561,8,0,12,1,3,1,4,0,0,0,0,0,5,0,0,1453,1,0,58,10,0,0,0,2442,4122,1108,322,35,132,33915,4412,1403,5465,2162,4242,355,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0
Ransomville,0,17348,6,11013,0,2,20,0,4172,0,0,0,429,0,19,3584,8900,0,0,6,4,0,0,2,0,0,0,0,0,8,80,0,1395,60,15,657,584,0,0,0,239,2667,1770,137,0,420,23200,21,82,371,1541,2179,123,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,286,0
Rush,0,19554,0,3322,1,21,2,0,3758,0,0,16,93,0,0,4626,4431,4,0,128,20,3,0,1,0,1,0,0,0,65,2,0,716,1,1,69,5,2,0,0,512,4468,1296,137,2,451,20460,152,2860,5060,5916,2488,360,5,0,0,0,0,1,0,3,0,7,0,0,0,0,0,7,0
Salem,0,7534,0,7,0,68,0,0,1,0,0,2,2,0,0,4095,5382,0,0,0,42,16,0,0,0,0,0,0,0,0,5,0,3053,0,0,4,0,0,0,0,373,2991,1195,349,35,84,32028,6013,1532,10973,1232,3915,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Savannah,0,19199,0,4940,0,34,8,0,151,0,0,3,193,0,1,2277,1444,4,0,27,873,2,0,406,0,0,0,0,0,7,0,0,731,0,0,118,14,0,0,0,4510,3244,859,354,65,128,12749,169,1076,2977,1731,18088,4716,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Schaghticoke,0,8543,0,97,0,74,0,0,23,0,0,55,18,0,0,1972,5530,0,0,0,2,8,0,0,0,0,0,0,0,0,566,0,1866,0,0,24,0,0,0,0,4466,3638,2983,1713,505,508,30251,2351,574,9006,949,4181,782,237,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
Schoharie,0,8543,0,97,0,74,0,0,23,0,0,55,18,0,0,1972,5530,0,0,0,2,8,0,0,0,0,0,0,0,0,566,0,1866,0,0,24,0,0,0,0,4466,3638,2983,1713,505,508,30251,2351,574,9006,949,4181,782,237,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
Seneca_Castle,0,21316,1,9249,2,157,1,2,3472,0,0,69,923,0,10,10584,3680,0,1,800,1,3,0,8,4,0,0,0,0,15,0,0,643,0,0,202,25,3,0,0,635,2710,276,12,2,62,13794,176,1734,2387,3339,3266,139,12,8,0,0,0,0,0,27,94,0,0,0,2,0,0,1112,0
Seneca_Falls,0,21316,1,9249,2,157,1,2,3472,0,0,69,923,0,10,10584,3680,0,1,800,1,3,0,8,4,0,0,0,0,15,0,0,643,0,0,202,25,3,0,0,635,2710,276,12,2,62,13794,176,1734,2387,3339,3266,139,12,8,0,0,0,0,0,27,94,0,0,0,2,0,0,1112,0
Sharon_Springs,0,5431,0,392,0,1,2,2,7,0,0,7,239,0,0,1927,28996,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,2114,0,0,21,0,0,0,0,473,3313,497,67,2,4,22446,1335,4031,3504,3587,2022,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherwood,0,27613,0,6097,0,3114,32,0,1886,0,0,14,532,0,2,15067,3662,3,0,381,0,1,0,4,0,4,0,0,0,5,0,1,606,0,0,65,40,1,0,0,33,1886,120,35,14,107,10557,99,116,3662,2513,2400,48,15,0,0,0,0,0,0,2,5,0,1,0,10,0,0,9,0
South_Colton,0,261,0,3,0,0,1,0,0,0,0,0,4,0,0,40,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6283,654,35,2,0,45,53877,12712,402,2925,26,4742,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer,0,1779,0,118,0,0,2,1,24,0,0,4,144,0,0,443,5543,0,0,17,0,0,0,2,0,0,0,0,0,5,0,0,838,2,0,5,2,0,0,0,861,1949,94,10,0,168,37632,4790,20661,2263,1923,701,130,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Spencerport,0,3795,0,1493,0,156,3,0,808,0,0,5,78,0,2,1881,1867,5,5,234,7,0,0,30,9,169,0,0,0,2,0,3,1059,1,2,789,1,7,0,6,333,15994,12590,3639,1393,308,18000,72,1999,2424,4691,6687,410,2,1,0,0,0,0,0,0,157,0,0,0,1,0,0,166,8
Stone_Ridge,0,2435,0,14,0,2073,1,0,4,0,0,1,41,0,0,479,6610,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1178,0,0,436,0,12,0,0,827,5933,1185,264,69,98,32783,2319,13545,1204,641,7331,96,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Ticonderoga,0,2504,0,3,0,1,0,0,0,0,0,0,0,0,0,4724,6628,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,1119,0,0,5,0,0,0,0,3037,4075,2615,963,313,337,35610,6847,5691,4375,1259,1651,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tivoli,0,2499,0,438,0,273,0,0,87,0,0,99,134,0,0,1806,12716,0,0,9,0,1,0,0,0,0,0,0,0,1,3,0,3781,1,0,750,0,3,0,2,1756,4664,2442,610,23,273,32642,1424,146,9880,799,596,1978,3,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0
Unadilla,0,2177,0,17,0,0,0,0,12,0,0,8,30,0,0,386,11173,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1083,0,0,1,0,1,0,0,1301,5013,1494,112,35,61,32727,3398,8354,2402,9521,689,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waterport,0,17410,2,3764,1,388,105,0,1686,0,0,14,178,1,0,3677,3486,0,0,1631,12,1,0,172,244,546,0,0,0,5,0,0,1507,11,2,3082,3,0,0,0,1460,3203,1261,37,0,57,24576,147,466,1116,5599,4807,412,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0,411,0
Williamson,0,7395,0,2804,0,24,0,0,888,0,0,4,381,0,0,2637,6142,0,0,70,120,10,0,10,0,1,0,0,0,7,0,0,993,164,22,6554,11,3,0,0,241,5644,1656,738,239,168,25769,642,2826,6790,2970,5180,244,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
