Collection Date,Country/Ocean,Farm,State/Province,Latitude,Longitude,Type of collection (select from the menu),Host plant,N° of subsample (if any),Sample weight (gr),SWD pupae,SWD,L. japonica,G. kimorum,Other parasitoids,Other drosophilid pupae,Other drosophilid,L. japonica,Other parasitoids ,Notes (if any)
26-Jun-24,USA,Fred Miller,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,6.9,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Fred Miller,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,24.8,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Fred Miller,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,8.8,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Variety - Donkey Doo,New Jersey,"39°40'132""N","74°45'282""W",Fruit from plant,Highbush Blueberry,,18.9,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Variety - Donkey Doo,New Jersey,"39°40'132""N","74°45'282""W",Fruit from plant,Highbush Blueberry,,10,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Macrie - Home,New Jersey,"39°32'134""N","74°44'152""W",Fruit from plant,Highbush Blueberry,,24,,25,0,0,0,0,0,0,0,
26-Jun-24,USA,Macrie - Home,New Jersey,"39°32'134""N","74°44'152""W",Fruit from plant,Huckleberry,,32.2,,18,0,0,0,0,0,0,0,
25-Jun-24,USA,Pastore Orchards,New Jersey,"39°42'380""N","74°47'020""W",Fruit from plant,Highbush Blueberry,,5.6,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Pastore Orchards,New Jersey,"39°42'380""N","74°47'020""W",Fruit from plant,Blackberry,,24.8,,21,0,0,0,0,0,0,0,
26-Jun-24,USA,Denny Doyle,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,43.2,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Variety - Nesco,New Jersey,"39°33'554""N","74°38'886""W",Fruit from plant,Blackberry,,35.5,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Variety - Nesco,New Jersey,"39°40'792""N","74°38'541""W",Fruit from plant,Highbush Blueberry,,3.6,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Variety - Nesco,New Jersey,"39°38'664""N","74°40'340""W",Fruit from plant,Huckleberry,,19.7,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,ABC - Mays Landing,New Jersey,"39°32'207""N","74°43'507""W",Fruit from plant,Highbush Blueberry,,6,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,ABC - Mays Landing,New Jersey,"39°32'207""N","74°43'507""W",Fruit from plant,Highbush Blueberry,,15.6,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,ABC - Home,New Jersey,"39°41'341""N","74°50'772""W",Fruit from plant,Highbush Blueberry,,16.3,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,ABC - Home,New Jersey,"39°41'341""N","74°50'772""W",Fruit from plant,Highbush Blueberry,,22,,3,0,0,0,0,0,0,0,
26-Jun-24,USA,Haines Berry Farm,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,10.3,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Haines Berry Farm,New Jersey,"39°45'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,12,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Haines Berry Farm,New Jersey,"39°42'561""N","74°45'147""W",Fruit from plant,Highbush Blueberry,,15.3,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC-Home,New Jersey,"39°32'375""N","74°46'523""W",Fruit from plant,Highbush Blueberry,,15.183,,3,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC-Home,New Jersey,"39°33'310""N","74°46'360""W",Fruit from plant,Highbush Blueberry,,24.545,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC-Mays Landing,New Jersey,"39°30'766""N","74°40'556""W",Fruit from plant,Highbush Blueberry,,26.209,,1,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC-Mays Landing,New Jersey,"39°29'480""N","74°40'002""W",Fruit from plant,Highbush Blueberry,,12.531,,1,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC-Mays Landing,New Jersey,"39°29'570""N","74°40'506""W",Fruit from plant,Highbush Blueberry,,1.318,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,ABC-Mays Landing,New Jersey,"39°29'580""N","74°40'457""W",Fruit from plant,Highbush Blueberry,,32.019,,16,0,0,0,0,0,0,0,
12-Jun-24,USA,Little Buck,New Jersey,"39°40'371""N","74°41'517""W",Fruit from plant,Blackberry,,13.01,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Little Buck,New Jersey,"39°40'097""N","74°41'686""W",Fruit from plant,Highbush Blueberry,,11.762,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Denny Doyle,New Jersey,"39°55'103""N","74°39'692""W",Fruit from plant,American Holly,,9.539,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Denny Doyle,New Jersey,"39°57'014""N","74°39'024""W",Fruit from plant,Highbush Blueberry,,13.559,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Denny Doyle,New Jersey,"39°57'554""N","74°30'276""W",Fruit from plant,Highbush Blueberry,,15.341,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Denny Doyle,New Jersey,"39°57'575""N","74°39'031""W",Fruit from plant,Highbush Blueberry,,9.117,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Fred Miller,New Jersey,"39°47'758""N","74°46'052""W",Fruit from plant,Roundleaf Greenbriar,,0.471,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Fred Miller,New Jersey,"39°47'331""N","74°47'626""W",Fruit from plant,Highbush Blueberry,,12.87,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Haines Blueberry Farm,New Jersey,"39°45'123""N","74°43'465""W",Fruit from plant,Roundleaf Greenbriar,,6.756,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Haines Blueberry Farm,New Jersey,"39°45'519""N","74°46'875""W",Fruit from plant,Highbush Blueberry,,8.571,,0,0,0,0,0,0,0,0,
11-Jun-24,USA,Macrie - 206,New Jersey,"39°42'915""N","74°44'002""W",Fruit from plant,Highbush Blueberry (D),,28.289,,1,0,0,0,0,0,0,0,
11-Jun-24,USA,Macrie - 206,New Jersey,"39°42'156""N","74°45'723""W",Fruit from plant,Highbush Blueberry,,17.082,,3,0,0,0,0,0,0,0,
12-Jun-24,USA,Macrie - Home,New Jersey,"39°32'346""N","74°45'731""W",Fruit from plant,Highbush Blueberry,,11.189,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Macrie - Home,New Jersey,"39°32'553""N","74°45'151""W",Fruit from plant,Highbush Blueberry,,6.449,,1,0,0,0,0,0,0,0,
12-Jun-24,USA,Macrie - Home,New Jersey,"39°34'608""N","74°43'511""W",Fruit from plant,Highbush Blueberry,,37.161,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Pastore Orchards,New Jersey,"39°40'110""N","74°43'540""W",Fruit from plant,Blackberry,,21.009,,27,0,0,0,0,0,0,0,
12-Jun-24,USA,Pastore Orchards,New Jersey,"39°39'749""N","74°45'073""W",Fruit from plant,Highbush Blueberry,,1.498,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Stoney Creek,New Jersey,"39°39'121""N","74°49'533""W",Fruit from plant,Highbush Blueberry,,12.251,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Moore's Meadows,New Jersey,"39°49'672""N","74°37'082""W",Fruit from plant,Highbush Blueberry,,18.513,,10,0,0,0,0,0,0,0,
12-Jun-24,USA,Moore's Meadows,New Jersey,"39°49'674""N","74°37'108""W",Fruit from plant,Highbush Blueberry,,31.183,,0,0,0,0,0,0,0,0,
12-Jun-24,USA,Variety - Donkey Doo,New Jersey,"39°40'518""N","74°36'941""W",Fruit from plant,Highbush Blueberry,,22.201,,1,0,0,0,0,0,0,0,
12-Jun-24,USA,Variety - Donkey Doo,New Jersey,"39°40'559""N","74°36'959""W",Fruit from plant,Highbush Blueberry,,27.636,,13,0,0,0,0,0,0,0,
