Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_21,VALUE_23,VALUE_24,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_242,VALUE_243,VALUE_244
SMI_HOF,,,,,,"-1","0","0",,,"4692","3","200","0","0","0","0","1","14","0","8","239","0","0","1510","1480","0","0","10","0","0","1","0","0","0","0","0","0","5","0","12","0","0","0","0","0","0","792","2276","583","81","10","182","19572","1427","13730","23","9062","1080","161","0","0","0","0","0","0","0","0","0","0","1","0","0"
SMI_JOH,,,,,,"-1","0","0",,,"7993","4","1562","0","2","0","0","0","178","0","48","7","0","0","5374","4779","0","0","40","0","0","0","0","0","0","0","0","0","3","0","45","0","0","0","5","6","0","32","2983","1127","399","122","13","15817","636","1240","47","14784","1081","23","17","0","0","0","0","0","0","0","1","0","0","0","0"
SMI_JOH_2,,,,,,"-1","0","0",,,"3243","4","1421","1","4","0","1","0","1012","0","7","153","4","0","3391","1993","0","0","190","0","1","0","0","0","0","0","0","0","0","0","66","0","0","3","2","7","0","291","4510","3662","1986","1146","61","19104","866","838","117","12509","1794","82","8","0","0","0","0","0","0","0","1","2","2","0","0"
GAB_ALL,,,,,,"-1","0","0",,,"3001","3","314","0","2","0","0","0","0","0","5","9","0","0","1149","1066","0","0","0","0","0","0","0","0","0","0","0","0","5","49","12","0","0","0","0","0","0","4231","4602","4778","4446","1654","100","11091","756","11306","67","5126","4257","180","0","0","0","0","0","0","0","0","0","2","6","0","0"
KAT_JEF,,,,,,"-1","0","0",,,"3062","0","677","0","9","0","0","0","581","0","7","0","0","0","297","8952","0","0","11","4","0","0","0","0","0","0","0","0","131","0","81","0","2","0","26","0","0","53","1667","808","294","35","18","13832","1496","4828","9","11727","7770","580","0","1","0","0","0","0","0","0","0","0","0","0","0"
KAT_JEF_2,,,,,,"-1","0","0",,,"3272","0","60","0","0","0","0","0","12","0","0","6","0","0","386","8244","0","0","1","0","0","0","0","0","0","0","0","0","106","0","80","0","0","4","25","2","0","58","1881","686","284","47","7","14773","961","4578","6","8996","11843","692","0","0","0","0","0","0","0","0","2","0","0","0","0"
STA_WIL,,,,,,"-1","0","0",,,"12632","2","2041","0","14","0","0","0","3172","0","1","55","0","1","10063","1176","0","0","283","2","0","0","0","0","0","0","0","0","19","0","178","0","0","61","24","4","0","90","3603","1297","416","96","51","9236","86","932","15","7086","4946","40","75","0","0","0","0","0","0","2","674","0","2","7","0"
STA_HEM_2,,,,,,"-1","0","0",,,"13785","3","4276","3","59","0","0","13","3202","0","221","22","0","16","8971","1220","0","0","374","16","0","0","4","0","3","0","34","1","81","0","533","0","0","72","163","16","9","106","2600","1098","500","208","596","7396","29","536","11","5918","4387","116","31","0","0","45","0","0","0","2","2","0","0","1422","0"
STA_HEM,,,,,,"-1","0","0",,,"17528","22","5291","0","20","0","3","0","1136","0","34","16","0","1","7359","1046","0","0","344","4","25","0","3","0","0","0","0","0","27","0","398","0","0","91","323","33","4","927","2637","811","202","35","55","7839","255","858","9","5636","4093","146","0","0","0","0","0","0","0","0","286","0","2","699","0"
STA_SWE,,,,,,"-1","0","0",,,"13150","12","1719","0","44","0","0","0","755","0","3","18","0","0","9171","1156","13","7","97","34","0","22","4","1","18","0","0","0","18","0","129","0","0","18","11","17","0","95","2309","620","165","22","5","19666","114","1106","153","4686","2210","348","14","2","0","0","0","0","15","2","18","0","5","5","0"
