Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_12,VALUE_21,VALUE_24,VALUE_27,VALUE_28,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_47,VALUE_49,VALUE_53,VALUE_58,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_222,VALUE_228,VALUE_229,VALUE_242,VALUE_243
WIS_COO,,,,,,"-1","0","0",,,"93","0","29","0","0","310","3","6","0","235","137","0","0","0","0","0","0","0","0","0","3","0","4","0","0","0","2","33","3","0","0","0","144","0","0","0","537","25","1","0","0","0","0","0","0"
LET_NOB,,,,,,"-1","0","0",,,"723","0","77","11","0","7","0","3","0","305","20","0","2","17","0","0","0","17","0","0","9","0","3","0","0","0","3","73","11","25","14","16","166","0","6","0","97","6","0","0","0","1","0","0","1"
LET_TAB,,,,,,"-1","0","0",,,"614","0","1","0","0","0","0","0","0","316","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","142","5","9","0","0","368","8","63","0","60","12","0","0","0","0","0","0","0"
WIS_HIG,,,,,,"-1","0","0",,,"2","0","0","4","0","0","0","0","0","5","12","0","0","0","0","2","0","0","0","0","5","1","49","0","0","0","4","117","124","161","28","0","729","2","21","0","179","106","3","0","0","0","0","0","0"
WIS_MEG,,,,,,"-1","0","0",,,"91","2","16","76","13","4","2","13","0","27","134","0","0","0","0","0","0","4","0","0","1","0","14","0","0","0","24","119","247","90","6","2","310","1","4","0","346","21","5","0","0","0","0","0","0"
WIS_KEN,,,,,,"-1","0","0",,,"8","0","0","0","0","0","0","2","0","2","3","0","0","0","0","0","0","0","0","0","6","1","138","0","0","0","76","169","202","128","37","1","368","4","36","2","282","57","29","0","0","0","0","0","0"
ZUE_REE,,,,,,"-1","0","0",,,"103","0","321","11","0","189","2","32","10","170","66","0","0","1","0","0","1","1","1","0","34","0","2","22","0","0","0","64","20","9","0","0","236","2","27","0","266","14","0","0","0","0","2","0","4"
DEG_PER_STRIP,,,,,,"-1","0","0",,,"312","0","212","0","0","110","0","0","0","315","96","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","66","13","2","3","0","166","0","0","0","302","0","0","0","0","0","0","6","0"
DEG_FOU_WOOD,,,,,,"-1","0","0",,,"705","0","12","0","0","0","0","0","0","95","269","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","106","50","1","0","0","51","0","7","0","300","0","0","0","0","0","0","0","0"
DEG_DIE_HILL,,,,,,"-1","0","0",,,"449","0","376","0","0","0","0","0","0","32","96","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","35","60","4","0","0","180","4","10","0","339","2","0","0","0","0","0","3","0"
DEG_DIE_SWC,,,,,,"-1","0","0",,,"549","0","179","3","2","2","0","18","0","77","80","0","0","0","0","0","0","0","5","0","0","0","0","1","0","0","4","59","60","10","0","2","146","26","42","3","275","55","4","0","0","0","0","0","0"
DEG_YOU_BOCES,,,,,,"-1","0","0",,,"529","0","4","0","0","0","0","2","0","63","51","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","67","123","43","24","0","50","2","2","3","636","5","0","0","0","0","0","0","0"
DEG_YOU_OSHEA,,,,,,"-1","0","0",,,"698","0","98","0","0","0","0","0","0","286","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76","25","19","1","0","266","6","35","0","45","20","1","0","0","0","0","0","0"
DEG_YOU_JONES,,,,,,"-1","0","0",,,"386","0","35","1","1","3","0","0","0","172","131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","59","121","20","4","1","234","17","40","1","360","9","0","0","0","0","0","0","0"
DEG_VIL,,,,,,"-1","0","0",,,"817","0","40","0","4","5","0","27","0","24","29","0","0","0","0","0","0","0","0","0","8","0","0","0","3","0","41","75","93","38","0","4","126","0","5","0","241","22","3","0","0","0","0","0","0"
SEA_HOO,,,,,,"-1","0","0",,,"294","0","213","6","0","223","0","1","0","134","34","0","1","23","0","0","0","0","241","0","5","0","0","26","0","0","0","90","16","12","0","0","166","0","10","0","47","60","0","0","0","0","1","0","0"
MIL_HUM,,,,,,"-1","0","0",,,"416","0","474","0","0","139","0","0","0","195","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47","52","37","23","0","119","0","7","1","77","4","0","1","0","0","0","0","0"
ONE_TER,,,,,,"-1","0","0",,,"492","0","5","0","0","0","0","0","0","59","198","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","141","166","192","103","0","0","0","0","0","337","0","0","0","0","0","0","0","0"
ONE_ADO,,,,,,"-1","0","0",,,"34","2","0","0","0","0","0","0","0","19","207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","5","5","0","0","1113","32","18","0","107","72","0","0","0","0","0","0","0"
ONE_STA,,,,,,"-1","0","0",,,"1308","0","10","0","0","0","0","0","0","34","37","7","0","3","0","0","0","0","0","0","4","0","0","0","0","0","0","70","36","15","6","8","124","2","3","0","40","16","1","0","0","0","0","0","0"
