Latitude,Longitude,Site ID,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_92,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_208,VALUE_216,VALUE_221,VALUE_222,VALUE_225,VALUE_226,VALUE_227,VALUE_228,VALUE_229,VALUE_242,VALUE_243,VALUE_244,VALUE_249
42.329445000000000,-78.716110999999998,MIL_TEL,"366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","144","21","4","12","3","1092","82","751","0","929","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.688611109999997,-78.808055560000000,MIL_ZIT_1,"386","1","428","0","0","0","0","0","4","0","0","0","0","0","0","100","36","1","0","41","0","0","0","0","0","0","0","0","3","0","3","0","0","3","0","0","0","0","445","119","11","9","4","445","18","275","0","1112","6","8","1","0","0","0","1","0","0","8","0","0","1","0","0","1","0"
42.679721999999998,-78.807221999999996,MIL_ZIT_2,"666","0","566","0","2","0","0","0","47","0","0","4","0","0","0","101","42","3","0","13","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","1","189","60","9","2","0","626","35","189","0","876","3","3","1","0","0","0","1","0","0","23","0","0","0","0","0","0","0"
42.689110999999997,-78.810277999999997,MIL_ZIT_3,"362","1","350","0","0","0","0","0","41","0","0","0","0","0","0","68","36","2","0","42","0","0","0","0","0","0","0","0","3","0","5","0","0","2","0","0","0","0","440","118","11","9","4","585","13","271","0","1057","33","8","1","0","0","0","1","0","0","8","0","0","1","0","0","2","0"
42.982978000000003,-74.035696000000002,SMI_ARN_1,"63","0","2","0","7","0","1","0","0","0","0","0","14","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","111","63","13","2","7","678","144","518","0","1429","360","32","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.970222000000000,-74.025943999999996,SMI_ARN_2,"98","0","48","0","23","0","1","0","0","0","0","0","2","0","0","40","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","82","114","41","4","9","633","90","354","0","1757","138","2","1","0","0","0","0","0","0","0","0","0","12","0","0","0","0"
43.231444000000003,-75.035443999999998,SMI_BUR,"134","0","66","0","0","0","5","0","1","0","0","2","2","0","0","0","2","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","165","34","15","0","4","1790","199","368","0","663","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.663806000000001,-74.515305999999995,SMI_COB,"210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","245","194","82","29","4","778","25","74","0","1625","174","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
42.826388999999999,-74.577500000000001,SMI_CON_1,"585","1","311","0","1","0","0","0","0","0","0","0","0","0","0","22","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","87","43","13","6","0","607","14","138","0","1618","8","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
42.839331000000001,-74.613545000000002,SMI_CON_2,"1","0","209","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","136","57","18","4","4","506","3","24","0","2426","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
