latitude,longitude
42.762,-81.252
42.797,-81.05
42.675,-81.161
42.669,-80.925
42.675,-80.939
42.81,-81.113
42.856,-81.301
45.322,-73.792
46.147,-72.463
46.342,-70.709
43.532,-80.952
43.504,-80.996
43.523,-80.927
42.658,-81.93
44.431,-76.713
44.327,-76.791
42.641,-81.896
43.092,-80.409
42.671,-81.621
42.854,-81.495
44.433,-76.823
44.156,-76.882
42.701,-81.629
44.142,-80.319
42.774,-81.746
42.15,-82.674
41.988,-82.917
42.86,-81.682
42.836,-81.664
43.238,-81.107
42.13,-83.004
44.155,-80.555
42.217,-82.512
44.228,-76.867
42.875,-81.501
42.934,-81.45
42.71,-80.56
43.225,-80.05
44.279,-76.35
44.304,-80.663
42.181,-82.915
42.205,-83.07
44.616,-80.625
42.077,-82.575
43.13,-81.661
43.19,-81.728
42.788,-81.64
44.288,-76.87
42.053,-82.686
44.039,-81.719
44.06,-81.732
42.693,-81.73
42.047,-82.566
44.464,-80.453
42.177,-82.766
42.855,-81.934
44.324,-76.822
42.907,-81.733
42.963,-81.644
42.937,-81.589
44.21,-76.907
42.918,-80.249
43.009,-80.392
44.213,-76.85
44.248,-76.803
42.66,-81.747
42.154,-82.549
45.083,-64.31
45.867,-63.742
45.217,-75.356
45.23,-75.389
42.795,-80.761
45.125,-75.5
45.108,-75.603
45.156,-75.763
42.245,-82.781
43.407,-81.108
45.829,-63.606
45.349,-76.135
42.848,-81.331
42.896,-81.343
42.952,-81.117
43.005,-81.131
45.242,-75.843
46.047,-72.611
45.169,-75.658
45.308,-75.736
45.404,-76.277
45.392,-76.353
45.323,-76.284
42.574,-82.209
43.337,-81.376
42.517,-82.304
42.931,-81.691
42.156,-86.084
42.398,-82.046
43.947,-81.53
44.145,-81.429
45.174,-75.978
45.622,-76.763
45.774,-77.007
45.469,-76.801
45.331,-74.197
43.163,-85.158
42.285,-82.142
43.33,-85.329
45.654,-74.471
45.747,-72.255
46.151,-72.531
45.348,-71.86
42.983,-81.971
42.864,-81.453
42.406,-81.825
42.453,-81.817
42.784,-81.597
42.046,-82.573
42.696,-81.235
43.677,-85.32
44.397,-76.28
44.154,-80.556
43.07,-81.516
43.133,-81.563
43.107,-81.615
43.06,-81.642
42.959,-81.571
42.931,-81.712
43.021,-81.764
43.141,-81.725
43.185,-81.763
43.263,-81.201
43.181,-81.27
43.159,-81.294
43.209,-81.325
43.217,-81.448
43.137,-81.405
43.103,-81.449
43.053,-81.393
42.217,-82.924
42.047,-82.567
45.83,-63.605
43.638,-81.539
44.671,-76.532
42.174,-82.892
42.222,-82.693
45.05,-63.48
43.901,-81.366
44.021,-81.612
44.024,-81.391
44.43,-81.375
43.966,-81.2
44.254,-81.456
45.041,-64.84
42.15,-86.134
45.047,-64.753
45.164,-64.573
45.102,-64.636
42.454,-85.52
44.949,-64.213
45.305,-74.179
45.371,-74.477
45.021,-63.166
45.064,-74.414
45.178,-74.213
45.779,-72.835
45.507,-75.176
45.634,-76.547
42.452,-81.89
45.063,-75.333
42.946,-81.057
43.038,-81.447
43.036,-80.938
45.602,-74.251
45.231,-62.923
42.497,-81.927
42.439,-82.215
42.446,-82.238
42.241,-82.241
42.702,-81.875
42.679,-81.963
42.726,-81.896
42.607,-81.929
45.134,-75.108
44.154,-79.618
43.192,-81.193
42.109,-83.027
42.111,-83.006
42.882,-81.649
42.882,-81.65
45.829,-63.605
42.585,-81.684
42.548,-81.659
42.52,-81.63
44.204,-79.839
45.099,-75.219
42.183,-82.556
42.151,-82.459
44.948,-64.215
45.04,-63.495
44.449,-80.658
45.095,-64.288
42.939,-81.398
42.467,-85.613
44.234,-80.23
45.371,-62.141
46.089,-61.355
44.947,-64.213
43.062,-81.1
43.266,-81.192
43.191,-81.157
45.829,-63.607
43.205,-81.009
45.136,-64.584
45.048,-64.754
45.164,-64.572
45.082,-64.313
45.143,-74.341
45.345,-63.423
44.946,-64.214
43.689,-80.199
43.593,-80.182
44.284,-78.622
42.449,-81.886
42.448,-81.886
42.638,-81.87
42.598,-81.945
42.691,-81.881
40.103,-83.805
43.16,-81.581
43.353,-80.995
43.353,-80.992
43.353,-80.993
45.085,-64.318
43.618,-80.985
43.621,-80.986
44.891,-75.419
43.575,-81.244
43.577,-81.249
43.147,-80.626
43.147,-80.628
43.266,-80.663
43.268,-80.664
43.3,-80.719
43.304,-80.717
43.477,-81.214
43.481,-81.217
45.064,-64.696
45.056,-75.343
43.353,-80.996
43.255,-80.803
42.792,-80.597
44.931,-65.146
43.003,-80.429
40.604,-83.88
43.008,-80.429
41.018,-84.034
43.043,-80.451
45.106,-63.428
45.345,-63.39
45.569,-75.367
44.959,-65.004
47.291,-79.33
46.244,-72.509
46.182,-73.431
45.825,-76.215
45.286,-71.828
45.328,-71.802
45.182,-71.95
44.991,-75.438
45.551,-75.384
45.652,-74.09
45.336,-73.16
46.784,-75.41
45.112,-75.76
46.56,-71.646
46.737,-71.77
45.78,-74.923
47.338,-70.092
45.729,-72.92
47.466,-79.438
46.661,-72.143
46.598,-72.318
45.534,-72.998
45.675,-72.787
45.805,-72.619
46.1,-72.876
45.649,-73.015
46.928,-70.882
46.628,-71.234
46.006,-73.572
46.495,-72.416
45.739,-70.647
45.57,-73.245
45.653,-72.87
45.508,-72.909
45.095,-72.185
45.462,-71.84
45.303,-74.299
45.95,-71.998
42.798,-80.58
42.496,-82.171
45.164,-74.518
45.534,-74.54
45.222,-73.963
43.467,-80.179
46.969,-71.051
48.402,-71.005
45.111,-74.026
45.142,-74.233
45.176,-74.088
42.416,-81.809
42.569,-82.294
43.711,-80.475
45.128,-73.975
42.488,-81.861
42.581,-82.231
46.118,-74.481
45.888,-73.46
45.532,-73.839
45.33,-74.202
45.085,-74.376
45.024,-74.368
42.548,-81.835
46.286,-72.928
45.386,-63.465
42.498,-81.717
48.438,-71.852
46.552,-75.504
46.712,-71.559
46.217,-72.588
45.498,-74.153
43.788,-80.685
45.081,-74.393
45.023,-74.304
45.088,-74.403
45.069,-74.403
42.552,-81.681
46.194,-71.829
45.829,-63.608
45.007,-74.297
45.085,-74.387
45.12,-74.385
42.494,-81.807
45.238,-74.375
43.719,-80.111
46.666,-71.583
47.866,-69.455
46.854,-71.105
46.697,-71.071
45.424,-72.84
48.07,-65.569
46.633,-70.968
45.049,-74.264
46.406,-72.708
45.255,-74.105
45.195,-74.151
44.131,-81.671
44.129,-81.663
43.602,-80.195
43.895,-81.701
43.611,-81.405
42.605,-82.229
43.511,-80.35
43.653,-80.486
43.773,-81.466
43.811,-81.492
43.551,-81.238
43.597,-80.48
45.092,-74.171
43.567,-80.379
42.943,-79.592
43.599,-80.459
43.523,-80.377
45.056,-73.583
45.124,-73.991
43.481,-80.336
43.787,-80.409
45.306,-74.054
44.295,-80.655
43.522,-80.427
45.062,-73.251
43.619,-80.514
43.619,-81.582
43.5,-80.456
45.226,-73.255
45.808,-73.036
45.685,-73.179
45.098,-73.761
45.153,-73.994
46.026,-72.487
45.155,-72.987
45.264,-73.899
45.66,-72.884
45.624,-72.887
45.892,-73.761
45.219,-73.996
45.171,-73.525
45.737,-72.622
45.424,-72.839
46.527,-72.171
45.211,-74.31
46.072,-72.204
45.124,-73.143
46.015,-73.361
45.215,-73.731
45.237,-74.089
43.779,-80.463
45.265,-73.622
45.45,-74.335
43.444,-81.002
43.553,-80.345
45.722,-65.624
44.311,-80.423
44.21,-80.254
43.913,-80.261
43.833,-81.585
43.938,-81.666
45.475,-75.144
43.858,-81.597
44.489,-80.926
43.931,-80.553
43.919,-81.204
44.086,-80.778
43.927,-81.639
44.295,-80.191
44.21,-80.256
43.718,-81.592
43.927,-81.465
43.688,-80.196
42.912,-81.54
43.122,-81.61
44.593,-80.649
43.829,-81.154
43.948,-81.47
43.154,-81.597
43.191,-81.686
44.227,-81.305
44.02,-77.207
42.622,-80.482
42.578,-80.555
42.664,-80.659
42.669,-80.446
44.463,-80.464
44.269,-80.572
43.091,-81.252
44.1,-80.231
45.601,-61.762
44.019,-81.266
42.461,-82.005
42.461,-82.006
42.459,-81.86
42.495,-81.906
42.535,-81.921
42.51,-82.006
42.569,-82.027
42.641,-82.009
42.548,-81.973
42.535,-82.066
42.581,-81.946
42.458,-81.86
42.539,-81.926
43.141,-81.736
43.148,-81.548
43.09,-81.439
43.792,-81.64
43.97,-77.3
43.543,-81.658
42.95,-81.144
43.498,-79.989
42.843,-81.274
43.025,-81.083
43.533,-80.376
42.855,-81.279
43.046,-80.947
43.22,-80.684
42.321,-82.149
42.337,-82.002
42.371,-81.986
42.283,-82.042
42.329,-81.898
42.33,-81.897
42.36,-82.074
42.374,-81.846
42.445,-81.929
42.314,-81.985
44.164,-81.58
45.108,-75.729
44.398,-81.39
45.445,-74.488
42.923,-81.18
42.738,-80.934
42.849,-81.627
42.922,-81.098
42.582,-81.862
43.643,-81.559
42.711,-80.554
42.845,-81.548
42.612,-80.605
42.784,-81.083
42.975,-80.579
42.607,-81.505
42.931,-81.944
43.805,-80.337
44.763,-65.432
45.359,-76.069
42.416,-81.81
45.36,-76.149
42.549,-81.836
42.498,-81.719
45.152,-75.736
45.354,-76.306
45.609,-76.568
45.371,-62.138
44.179,-78.63
44.191,-78.462
44.222,-78.642
44.191,-78.463
42.891,-79.531
42.947,-79.388
43.992,-81.678
46.036,-61.427
42.931,-80.05
42.823,-81.229
42.724,-81.897
42.616,-81.823
43.717,-80.85
43.594,-80.518
43.71,-80.636
42.608,-81.804
42.989,-79.955
45.304,-75.291
45.227,-75.268
45.228,-75.267
45.013,-71.8
42.583,-82.029
43.538,-81.289
43.54,-81.288
43.053,-81.115
43.144,-79.442
42.679,-81.978
42.874,-81.116
42.422,-81.861
42.754,-81.047
42.455,-81.737
43.915,-80.168
44.268,-80.57
42.832,-81.963
42.546,-81.779
42.544,-81.778
43.394,-81.129
42.257,-82.652
42.887,-79.729
43.473,-81.223
42.557,-81.897
42.491,-81.673
42.699,-81.835
43.463,-81.235
43.462,-81.236
42.436,-82.018
42.561,-81.696
43.874,-80.38
42.919,-79.358
46.615,-72.524
43.009,-79.466
42.972,-79.368
43.532,-81.34
43.277,-80.774
43.405,-81.252
43.146,-79.83
42.879,-82.19
42.882,-82.189
42.931,-82.219
42.588,-81.587
43.112,-81.146
42.754,-81.034
42.091,-82.518
43.545,-81.131
43.436,-81.421
43.432,-81.412
42.679,-81.5
43.029,-82.111
42.94,-81.593
45.306,-74.178
42.828,-80.495
43.249,-80.13
43.083,-80.637
43.197,-80.337
43.183,-80.496
43.202,-80.529
43.183,-80.52
43.157,-80.45
42.701,-80.608
43.263,-80.631
43.274,-80.642
43.238,-80.905
42.955,-80.819
43.046,-80.74
43.082,-80.79
43.231,-80.775
43.379,-80.564
43.364,-80.521
43.381,-80.517
43.299,-80.568
42.433,-82.225
42.474,-82.163
45.371,-74.478
42.491,-82.189
42.657,-81.863
42.706,-81.846
42.733,-81.817
42.692,-81.93
42.645,-81.963
42.74,-81.831
42.772,-81.89
42.742,-81.787
43.128,-81.535
45.177,-75.972
42.907,-81.734
42.672,-82.16
44.103,-79.922
45.152,-74.219
43.44,-80.674
45.064,-75.333
43.919,-80.861
43.776,-80.371
43.639,-80.338
43.888,-80.615
43.914,-80.619
43.965,-80.516
44.057,-80.588
44.193,-80.584
44.211,-80.896
44.11,-80.8
44.128,-80.913
43.897,-80.818
44.112,-80.922
44.081,-80.821
44.019,-80.971
44.036,-81.032
43.989,-81.115
43.966,-80.999
43.994,-80.842
43.891,-80.826
43.842,-80.788
43.794,-80.663
43.818,-80.569
43.851,-80.64
43.697,-80.667
45.558,-76.931
45.569,-76.917
44.266,-80.146
43.455,-84.791
43.523,-84.768
42.818,-81.007
43.339,-79.934
43.286,-80.079
42.873,-80.508
42.844,-80.528
42.823,-80.491
42.81,-80.525
43.309,-80.405
43.305,-80.426
43.338,-80.496
43.017,-80.548
42.986,-80.515
42.976,-80.521
42.913,-80.577
42.948,-80.441
42.626,-80.583
42.786,-80.283
42.787,-80.275
42.753,-80.586
42.738,-80.552
42.71,-80.551
42.624,-80.583
42.714,-80.703
42.638,-80.704
42.635,-80.736
42.766,-80.86
43.469,-80.905
45.591,-76.713
43.301,-84.594
43.232,-80.042
43.513,-84.365
43.62,-84.888
44.062,-80.314
43.427,-80.645
43.777,-80.371
43.965,-80.517
44.056,-80.588
44.194,-80.581
44.081,-80.822
44.02,-80.971
43.995,-80.838
43.875,-80.796
43.842,-80.787
43.81,-80.668
43.851,-80.639
43.03,-81.448
44.107,-80.943
44.902,-65.173
42.679,-81.451
43.402,-81.455
43.404,-81.467
43.486,-81.484
43.485,-81.484
43.274,-81.543
42.448,-81.929
45.287,-73.98
43.53,-81.622
42.54,-81.648
42.649,-81.604
42.818,-80.284
43.256,-80.421
43.357,-80.418
43.363,-80.396
43.256,-80.377
43.241,-80.364
42.743,-80.277
42.759,-80.331
43.144,-80.945
43.351,-80.728
43.296,-80.506
43.361,-80.605
41.828,-86.496
42.351,-81.908
43.948,-77.482
42.641,-81.41
42.63,-84.0
42.119,-84.801
43.32,-81.508
43.32,-81.51
42.701,-81.529
43.483,-81.429
42.698,-81.606
42.845,-81.587
43.238,-81.459
42.92,-81.472
42.612,-81.668
45.124,-75.023
43.278,-81.26
42.597,-81.548
42.872,-81.624
42.547,-81.592
42.549,-81.659
42.561,-81.693
42.382,-81.822
42.434,-82.043
42.598,-81.471
42.276,-82.649
43.962,-81.306
42.712,-80.963
42.834,-80.984
42.821,-80.991
42.828,-80.946
42.675,-80.872
42.712,-80.944
42.681,-80.985
42.731,-80.987
42.792,-80.928
42.758,-80.945
42.924,-81.079
42.931,-81.055
44.037,-81.698
43.812,-81.67
42.204,-84.868
43.341,-79.921
43.315,-80.458
43.508,-79.745
43.522,-79.77
43.409,-79.959
43.509,-80.266
42.694,-80.945
42.646,-80.797
44.147,-81.43
43.948,-81.528
42.745,-81.227
42.743,-81.454
42.719,-81.478
42.694,-81.566
42.651,-81.613
42.522,-81.789
42.443,-81.765
42.625,-81.409
42.665,-81.354
42.652,-81.436
42.666,-81.354
42.728,-81.266
42.695,-81.251
42.686,-81.226
42.718,-81.271
42.673,-81.099
42.674,-80.917
42.711,-80.879
42.746,-81.045
42.81,-81.102
42.834,-81.298
45.386,-63.464
43.905,-81.378
45.488,-76.742
45.212,-75.855
43.076,-82.083
43.167,-81.908
42.957,-82.15
41.954,-85.337
42.191,-82.507
42.188,-82.513
44.292,-81.038
44.34,-78.395
43.97,-78.35
43.101,-84.22
42.8,-83.979
43.059,-84.374
42.657,-84.031
42.783,-84.257
42.789,-81.732
42.523,-81.975
42.499,-82.052
42.582,-81.946
45.121,-72.973
44.767,-65.434
42.676,-81.929
43.505,-80.399
44.977,-75.354
44.103,-81.313
43.949,-81.273
44.159,-81.11
43.979,-81.305
44.21,-81.15
45.348,-76.138
45.364,-76.34
45.472,-76.178
44.291,-81.18
43.13,-80.888
42.955,-81.996
45.137,-75.099
43.325,-80.488
42.696,-80.503
42.774,-81.81
43.237,-80.796
45.373,-76.26
44.133,-81.065
45.33,-76.041
45.204,-75.404
44.285,-77.032
45.196,-76.08
43.177,-80.524
43.803,-80.12
45.099,-73.08
44.148,-81.079
44.022,-81.077
43.971,-81.28
45.143,-75.47
45.21,-75.494
44.196,-81.453
44.134,-76.394
44.124,-76.399
43.911,-80.26
43.065,-81.102
44.086,-80.776
42.675,-81.138
43.044,-80.928
43.931,-80.548
43.691,-80.351
42.913,-81.063
43.07,-81.432
43.317,-81.501
43.543,-81.132
45.568,-76.919
42.044,-82.89
43.31,-81.086
45.715,-76.789
43.127,-81.302
42.029,-82.893
42.029,-82.895
42.714,-81.183
43.777,-81.598
43.742,-81.458
44.211,-80.257
45.475,-76.529
