Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_56,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_219,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_242,VALUE_243,VALUE_244
SMI_JOH,,,,,,"-1","0","0",,,"3611","0","920","0","0","3","0","270","0","0","7","0","0","0","2324","1854","0","0","1","0","0","0","0","0","0","0","17","2","4","0","0","0","1","3","0","18","1384","601","180","19","6","6674","558","658","33","6243","530","9","11","0","0","0","0","0","0","0","0","0"
SMI_JOH_2,,,,,,"-1","0","0",,,"1690","0","850","0","0","4","68","883","0","0","1","144","0","0","1950","578","0","0","647","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","242","1562","1086","461","248","38","8755","735","384","56","4826","748","28","1","0","0","0","0","0","0","0","0","0"
GAB_ALL,,,,,,"-1","0","0",,,"577","121","10","0","0","0","0","2","0","0","5","0","0","0","345","311","0","0","0","0","0","0","0","0","0","0","6","9","21","0","0","0","0","0","0","2664","2036","2089","1725","626","38","4225","657","5396","51","1787","3071","95","2","0","0","0","0","0","0","0","0","0"
KAT_JEF,,,,,,"-1","0","0",,,"1528","0","31","0","0","0","0","7","0","0","0","16","0","0","222","4383","4","0","132","0","0","0","0","0","4","0","5","0","23","0","2","1","3","3","0","17","786","448","165","25","13","5465","799","2796","3","4939","3333","167","0","0","0","0","0","0","0","0","0","0"
KAT_JEF_2,,,,,,"-1","0","0",,,"2207","0","26","0","0","0","0","2","0","0","0","0","0","0","228","2872","0","0","72","0","0","0","0","0","0","0","13","0","2","0","0","2","14","0","0","44","466","230","73","7","9","5420","552","2835","3","2350","7455","453","0","0","0","0","0","0","0","0","0","0"
STA_WIL,,,,,,"-1","0","0",,,"4533","2","1081","0","1","0","0","381","2","0","1","18","0","0","6827","576","1","0","75","0","0","0","2","0","0","0","0","0","8","0","0","16","3","2","0","12","1302","223","85","6","0","3774","29","266","14","2493","1898","22","175","0","0","0","0","2124","0","0","0","0"
STA_HEM_2,,,,,,"-1","0","0",,,"5223","2","751","0","47","5","3","2670","0","0","85","42","0","0","3671","697","7","0","581","5","0","0","4","0","18","0","3","0","5","0","2","17","66","0","0","50","916","407","219","117","530","3514","7","222","10","2648","2147","67","7","6","2","76","0","0","6","0","968","0"
STA_HEM,,,,,,"-1","0","0",,,"6970","0","2445","0","5","0","0","500","0","0","11","18","0","0","4436","500","0","0","138","6","0","0","2","0","9","0","17","0","2","0","0","12","144","28","3","115","1181","428","108","23","34","3990","71","332","5","2455","1296","98","1","0","2","1","0","23","0","0","456","0"
STA_SWE,,,,,,"-1","0","0",,,"3357","4","741","0","14","0","0","1082","0","0","98","19","0","2","4232","380","0","7","265","2","1","17","2","8","28","0","13","0","22","0","0","5","0","6","0","18","1127","280","39","4","0","9365","77","684","29","2704","1005","99","4","0","0","8","5","9","0","0","2","0"
STA_COL,,,,,,"-1","0","0",,,"3716","4","1206","0","414","0","0","679","0","0","17","64","0","0","2639","267","0","0","452","63","0","2","8","2","775","0","2","0","30","0","1","73","3","54","0","44","1563","959","357","29","5","4734","143","619","14","5105","1576","40","0","56","0","57","0","19","1","0","294","0"
