Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_47,VALUE_49,VALUE_53,VALUE_58,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_222,VALUE_228,VALUE_229,VALUE_242,VALUE_243
KAT_SAU_2,,,,,,"-1","0","0",,,"1140","0","2","0","0","0","0","8","0","0","0","4","0","0","193","1754","0","0","128","2","0","0","2","4","1","0","0","0","0","0","0","4","434","60","24","2","1","1222","68","241","0","993","1","3","0","0","0","0","0","0","0"
KAT_TEE,,,,,,"-1","0","0",,,"1150","0","42","0","0","0","0","3","0","0","0","0","0","0","160","622","0","0","0","0","0","0","0","0","0","4","0","2","0","2","0","23","330","81","33","1","0","2078","36","467","6","1061","219","27","0","0","0","0","0","0","0"
KAT_TEE_2,,,,,,"-1","0","0",,,"777","0","3","0","0","0","0","1","0","0","0","0","0","0","119","305","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","112","3","2","0","0","2650","386","1605","3","372","12","1","0","0","0","0","0","0","0"
KAT_HAB_2,,,,,,"-1","0","0",,,"1740","0","82","0","0","0","0","119","0","0","0","9","0","0","94","1030","0","0","14","2","0","2","8","0","0","325","0","0","3","0","0","0","275","45","23","14","4","1225","230","568","3","536","37","3","0","0","0","0","0","0","0"
KAT_HAB,,,,,,"-1","0","0",,,"1637","0","267","0","1","0","0","2","0","0","0","4","0","0","20","738","0","0","0","3","0","0","0","0","0","5","0","0","36","0","0","0","1047","53","3","4","3","1069","92","567","0","773","35","14","0","0","0","0","0","4","0"
KAT_BAR,,,,,,"-1","0","0",,,"1050","0","20","0","0","0","0","12","0","0","3","1","0","0","102","277","0","0","3","1","0","0","0","7","0","0","0","0","19","0","0","252","344","216","169","9","19","1506","96","1216","5","830","105","30","0","0","0","0","0","0","0"
SMI_LAT,,,,,,"-1","0","0",,,"1227","0","22","0","0","2","0","31","0","0","0","107","0","3","1442","351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62","529","101","48","12","0","1373","56","107","2","694","245","3","0","0","0","0","0","0","0"
SMI_DUR,,,,,,"-1","0","0",,,"1095","0","80","0","0","0","0","454","0","0","0","1","0","0","333","178","0","0","0","0","0","0","0","3","0","11","0","0","0","10","0","0","364","138","57","5","3","1954","89","55","22","900","734","7","3","0","0","0","0","0","0"
SMI_HOF,,,,,,"-1","0","0",,,"963","0","27","0","0","0","0","128","0","0","18","3","0","0","308","170","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","138","270","168","17","1","23","1956","69","491","19","1154","346","69","5","0","0","0","0","0","0"
SMI_JOH,,,,,,"-1","0","0",,,"1794","0","173","0","0","3","0","20","0","0","0","0","0","0","303","338","0","0","0","0","0","0","0","0","2","0","0","0","0","3","0","1","253","124","67","12","2","1631","287","286","5","1019","163","0","0","0","0","0","0","0","0"
SMI_JOH_2,,,,,,"-1","0","0",,,"436","0","96","0","0","4","4","598","0","0","1","20","0","0","492","106","0","0","514","0","0","0","0","0","0","1","0","0","0","0","0","161","170","105","45","3","2","2353","253","126","17","717","264","8","1","0","0","0","0","0","0"
GAB_ALL,,,,,,"-1","0","0",,,"97","0","5","0","0","0","0","0","0","0","2","0","0","0","36","37","0","0","0","0","0","0","0","2","9","1","0","0","0","0","0","671","406","519","399","76","12","1122","143","1432","16","311","1150","21","2","0","0","0","0","0","0"
KAT_JEF,,,,,,"-1","0","0",,,"569","0","19","0","0","0","0","2","0","0","0","4","0","0","80","1445","0","0","14","0","0","0","0","1","0","0","0","0","0","0","0","0","229","201","82","14","9","1273","210","825","0","1094","252","8","0","0","0","0","0","0","0"
KAT_JEF_2,,,,,,"-1","0","0",,,"798","0","11","0","0","0","0","0","0","0","0","0","0","0","142","960","0","0","70","0","0","0","0","4","0","2","0","2","2","0","0","8","135","77","28","5","7","1278","71","365","0","738","1417","220","0","0","0","0","0","0","0"
STA_WIL,,,,,,"-1","0","0",,,"922","2","74","0","0","0","0","35","2","0","0","0","0","0","2213","117","1","0","4","0","0","2","0","0","0","3","0","2","0","2","0","8","315","42","28","0","0","1461","16","97","0","724","389","11","8","0","0","6","0","0","0"
STA_HEM_2,,,,,,"-1","0","0",,,"1411","2","140","0","7","0","0","826","0","0","8","17","0","0","937","86","3","0","407","4","0","2","8","0","0","3","2","7","19","0","0","11","205","145","103","34","151","537","4","55","0","812","465","37","0","6","0","0","0","0","2"
STA_HEM,,,,,,"-1","0","0",,,"1391","0","372","0","0","0","0","308","0","0","2","3","0","0","968","127","0","0","43","0","0","0","4","0","0","0","0","0","111","23","3","58","326","101","26","3","0","913","16","69","0","941","257","26","0","0","0","0","0","0","377"
